stay_year,stay_month,season_band,booking_window_band,room_id,room_name,quoted_requests,overall_converted_requests,same_room_converted_requests,avg_quote_amount,overall_conversion_pct,same_room_conversion_pct
2024,2024-06,SHOULDER,15-30,2762,Camera Superior,28,1,1,1648.21,3.57,3.57
2024,2024-06,SHOULDER,15-30,2763,Camera Deluxe,25,0,0,2086.93,0.0,0.0
2024,2024-06,SHOULDER,15-30,2764,Appartamento Area Giardino,87,1,0,1607.24,1.15,0.0
2024,2024-06,SHOULDER,15-30,2765,Appartamento Area Piscina,105,1,1,2060.14,0.95,0.95
2024,2024-06,SHOULDER,15-30,2767,Suite Familiare Vista Piscina,1,0,0,830.0,0.0,0.0
2024,2024-06,SHOULDER,15-30,3231,Suite Familiare,3,0,0,793.33,0.0,0.0
2024,2024-06,SHOULDER,15-30,5375,Villino 2Ten,28,0,0,1638.21,0.0,0.0
2024,2024-06,SHOULDER,31-60,2761,Camera  Standard,25,0,0,1537.0,0.0,0.0
2024,2024-06,SHOULDER,31-60,2762,Camera Superior,14,1,0,1669.29,7.14,0.0
2024,2024-06,SHOULDER,31-60,2763,Camera Deluxe,11,0,0,2347.58,0.0,0.0
2024,2024-06,SHOULDER,31-60,2764,Appartamento Area Giardino,58,4,2,2136.65,6.9,3.45
2024,2024-06,SHOULDER,31-60,2765,Appartamento Area Piscina,58,4,3,2444.44,6.9,5.17
2024,2024-06,SHOULDER,31-60,3231,Suite Familiare,4,1,1,3990.0,25.0,25.0
2024,2024-06,SHOULDER,31-60,5375,Villino 2Ten,18,0,0,1667.78,0.0,0.0
2024,2024-06,SHOULDER,31-60,5376,Villino Double,3,1,1,2206.67,33.33,33.33
2024,2024-06,SHOULDER,61-90,2761,Camera  Standard,28,3,3,1224.82,10.71,10.71
2024,2024-06,SHOULDER,61-90,2762,Camera Superior,25,4,4,1650.14,16.0,16.0
2024,2024-06,SHOULDER,61-90,2763,Camera Deluxe,15,2,0,1711.33,13.33,0.0
2024,2024-06,SHOULDER,61-90,2764,Appartamento Area Giardino,20,1,1,1694.15,5.0,5.0
2024,2024-06,SHOULDER,61-90,2765,Appartamento Area Piscina,48,3,3,2319.93,6.25,6.25
2024,2024-06,SHOULDER,61-90,2767,Suite Familiare Vista Piscina,2,1,1,3082.25,50.0,50.0
2024,2024-06,SHOULDER,61-90,3231,Suite Familiare,2,0,0,3040.0,0.0,0.0
2024,2024-06,SHOULDER,61-90,5375,Villino 2Ten,5,0,0,1550.67,0.0,0.0
2024,2024-06,SHOULDER,91-180,2761,Camera  Standard,104,5,4,1328.07,4.81,3.85
2024,2024-06,SHOULDER,91-180,2762,Camera Superior,63,1,0,1592.28,1.59,0.0
2024,2024-06,SHOULDER,91-180,2763,Camera Deluxe,53,6,5,1886.16,11.32,9.43
2024,2024-06,SHOULDER,91-180,2764,Appartamento Area Giardino,75,10,8,1879.58,13.33,10.67
2024,2024-06,SHOULDER,91-180,2765,Appartamento Area Piscina,54,5,4,1944.45,9.26,7.41
2024,2024-06,SHOULDER,91-180,3231,Suite Familiare,1,0,0,2340.0,0.0,0.0
2024,2024-06,SHOULDER,91-180,5375,Villino 2Ten,5,0,0,1340.0,0.0,0.0
2024,2024-06,SHOULDER,181+,2761,Camera  Standard,25,1,0,1398.67,4.0,0.0
2024,2024-06,SHOULDER,181+,2762,Camera Superior,13,1,0,2120.77,7.69,0.0
2024,2024-06,SHOULDER,181+,2763,Camera Deluxe,11,2,2,1919.09,18.18,18.18
2024,2024-06,SHOULDER,181+,2764,Appartamento Area Giardino,17,4,4,1789.02,23.53,23.53
2024,2024-06,SHOULDER,181+,2765,Appartamento Area Piscina,7,1,1,2107.46,14.29,14.29
2024,2024-06,SHOULDER,181+,5375,Villino 2Ten,2,0,0,1240.0,0.0,0.0
2024,2024-07,PEAK,0-7,2761,Camera  Standard,22,3,3,1770.61,13.64,13.64
2024,2024-07,PEAK,0-7,2762,Camera Superior,12,0,0,1947.15,0.0,0.0
2024,2024-07,PEAK,0-7,2763,Camera Deluxe,14,1,1,2565.0,7.14,7.14
2024,2024-07,PEAK,0-7,2764,Appartamento Area Giardino,19,1,0,1943.16,5.26,0.0
2024,2024-07,PEAK,0-7,2765,Appartamento Area Piscina,22,0,0,2328.23,0.0,0.0
2024,2024-07,PEAK,0-7,2767,Suite Familiare Vista Piscina,6,0,0,2473.33,0.0,0.0
2024,2024-07,PEAK,0-7,3231,Suite Familiare,1,0,0,1000.0,0.0,0.0
2024,2024-07,PEAK,0-7,5375,Villino 2Ten,10,0,0,1783.67,0.0,0.0
2024,2024-07,PEAK,0-7,5376,Villino Double,2,0,0,2140.0,0.0,0.0
2024,2024-07,PEAK,8-14,2761,Camera  Standard,50,2,1,1948.93,4.0,2.0
2024,2024-07,PEAK,8-14,2762,Camera Superior,64,11,8,2262.89,17.19,12.5
2024,2024-07,PEAK,8-14,2763,Camera Deluxe,53,3,2,2725.98,5.66,3.77
2024,2024-07,PEAK,8-14,2764,Appartamento Area Giardino,43,5,4,2617.48,11.63,9.3
2024,2024-07,PEAK,8-14,2765,Appartamento Area Piscina,42,2,2,2602.46,4.76,4.76
2024,2024-07,PEAK,8-14,2767,Suite Familiare Vista Piscina,1,0,0,2440.0,0.0,0.0
2024,2024-07,PEAK,8-14,5375,Villino 2Ten,4,0,0,1840.0,0.0,0.0
2024,2024-07,PEAK,15-30,2761,Camera  Standard,80,4,4,2369.25,5.0,5.0
2024,2024-07,PEAK,15-30,2762,Camera Superior,63,1,0,2358.19,1.59,0.0
2024,2024-07,PEAK,15-30,2763,Camera Deluxe,52,3,2,2659.76,5.77,3.85
2024,2024-07,PEAK,15-30,2764,Appartamento Area Giardino,20,1,1,2670.95,5.0,5.0
2024,2024-07,PEAK,15-30,2765,Appartamento Area Piscina,137,4,3,2812.56,2.92,2.19
2024,2024-07,PEAK,15-30,2767,Suite Familiare Vista Piscina,2,0,0,3340.0,0.0,0.0
2024,2024-07,PEAK,15-30,3231,Suite Familiare,2,0,0,3105.0,0.0,0.0
2024,2024-07,PEAK,15-30,5375,Villino 2Ten,4,1,0,1842.5,25.0,0.0
2024,2024-07,PEAK,15-30,5376,Villino Double,9,0,0,3445.56,0.0,0.0
2024,2024-07,PEAK,31-60,2761,Camera  Standard,57,1,1,2326.67,1.75,1.75
2024,2024-07,PEAK,31-60,2762,Camera Superior,64,1,1,2729.5,1.56,1.56
2024,2024-07,PEAK,31-60,2763,Camera Deluxe,66,3,0,2795.05,4.55,0.0
2024,2024-07,PEAK,31-60,2764,Appartamento Area Giardino,20,2,2,2707.5,10.0,10.0
2024,2024-07,PEAK,31-60,2765,Appartamento Area Piscina,87,3,2,3397.38,3.45,2.3
2024,2024-07,PEAK,31-60,2767,Suite Familiare Vista Piscina,3,1,0,2990.0,33.33,0.0
2024,2024-07,PEAK,31-60,3231,Suite Familiare,13,1,1,3391.15,7.69,7.69
2024,2024-07,PEAK,31-60,5375,Villino 2Ten,5,0,0,2130.0,0.0,0.0
2024,2024-07,PEAK,31-60,5376,Villino Double,15,1,0,3923.33,6.67,0.0
2024,2024-07,PEAK,61-90,2761,Camera  Standard,31,2,2,2377.06,6.45,6.45
2024,2024-07,PEAK,61-90,2762,Camera Superior,40,0,0,2337.08,0.0,0.0
2024,2024-07,PEAK,61-90,2763,Camera Deluxe,25,1,1,2757.6,4.0,4.0
2024,2024-07,PEAK,61-90,2764,Appartamento Area Giardino,10,1,1,2600.0,10.0,10.0
2024,2024-07,PEAK,61-90,2765,Appartamento Area Piscina,66,2,2,3458.67,3.03,3.03
2024,2024-07,PEAK,61-90,3231,Suite Familiare,3,0,0,2790.0,0.0,0.0
2024,2024-07,PEAK,61-90,5375,Villino 2Ten,3,0,0,2156.67,0.0,0.0
2024,2024-07,PEAK,61-90,5376,Villino Double,1,0,0,2990.0,0.0,0.0
2024,2024-07,PEAK,91-180,2761,Camera  Standard,90,3,2,1948.19,3.33,2.22
2024,2024-07,PEAK,91-180,2762,Camera Superior,108,7,5,2325.86,6.48,4.63
2024,2024-07,PEAK,91-180,2763,Camera Deluxe,62,3,3,2598.99,4.84,4.84
2024,2024-07,PEAK,91-180,2764,Appartamento Area Giardino,112,8,6,2789.16,7.14,5.36
2024,2024-07,PEAK,91-180,2765,Appartamento Area Piscina,110,11,8,2845.15,10.0,7.27
2024,2024-07,PEAK,91-180,2767,Suite Familiare Vista Piscina,5,1,1,3090.0,20.0,20.0
2024,2024-07,PEAK,91-180,3231,Suite Familiare,1,0,0,2490.0,0.0,0.0
2024,2024-07,PEAK,91-180,5375,Villino 2Ten,3,0,0,1756.67,0.0,0.0
2024,2024-07,PEAK,181+,2761,Camera  Standard,21,2,1,2041.21,9.52,4.76
2024,2024-07,PEAK,181+,2762,Camera Superior,25,1,0,2158.4,4.0,0.0
2024,2024-07,PEAK,181+,2763,Camera Deluxe,30,0,0,2748.33,0.0,0.0
2024,2024-07,PEAK,181+,2764,Appartamento Area Giardino,47,6,5,2869.94,12.77,10.64
2024,2024-07,PEAK,181+,2765,Appartamento Area Piscina,15,1,1,2379.28,6.67,6.67
2024,2024-07,PEAK,181+,3231,Suite Familiare,1,0,0,3990.0,0.0,0.0
2024,2024-07,PEAK,181+,5375,Villino 2Ten,2,0,0,2931.5,0.0,0.0
2024,2024-07,PEAK,181+,5376,Villino Double,1,0,0,3890.0,0.0,0.0
2024,2024-08,PEAK,0-7,2761,Camera  Standard,70,9,9,1983.54,12.86,12.86
2024,2024-08,PEAK,0-7,2762,Camera Superior,45,5,5,2306.81,11.11,11.11
2024,2024-08,PEAK,0-7,2763,Camera Deluxe,30,3,2,2628.87,10.0,6.67
2024,2024-08,PEAK,0-7,2764,Appartamento Area Giardino,9,1,0,2376.78,11.11,0.0
2024,2024-08,PEAK,0-7,2765,Appartamento Area Piscina,10,2,1,2215.45,20.0,10.0
2024,2024-08,PEAK,0-7,5375,Villino 2Ten,1,0,0,3190.0,0.0,0.0
2024,2024-08,PEAK,8-14,2761,Camera  Standard,46,1,0,2446.52,2.17,0.0
2024,2024-08,PEAK,8-14,2762,Camera Superior,41,4,4,2887.56,9.76,9.76
2024,2024-08,PEAK,8-14,2763,Camera Deluxe,67,3,1,3080.17,4.48,1.49
2024,2024-08,PEAK,8-14,2764,Appartamento Area Giardino,27,2,2,2438.4,7.41,7.41
2024,2024-08,PEAK,8-14,2765,Appartamento Area Piscina,20,3,1,2483.5,15.0,5.0
2024,2024-08,PEAK,8-14,2767,Suite Familiare Vista Piscina,8,1,1,3815.0,12.5,12.5
2024,2024-08,PEAK,8-14,3231,Suite Familiare,4,0,0,2970.0,0.0,0.0
2024,2024-08,PEAK,8-14,5375,Villino 2Ten,1,0,0,3090.0,0.0,0.0
2024,2024-08,PEAK,15-30,2761,Camera  Standard,91,4,4,2809.37,4.4,4.4
2024,2024-08,PEAK,15-30,2762,Camera Superior,98,2,2,2815.82,2.04,2.04
2024,2024-08,PEAK,15-30,2763,Camera Deluxe,160,2,1,3425.85,1.25,0.62
2024,2024-08,PEAK,15-30,2764,Appartamento Area Giardino,23,1,0,2386.09,4.35,0.0
2024,2024-08,PEAK,15-30,2765,Appartamento Area Piscina,54,2,2,3325.46,3.7,3.7
2024,2024-08,PEAK,15-30,2767,Suite Familiare Vista Piscina,6,0,0,4006.67,0.0,0.0
2024,2024-08,PEAK,15-30,3231,Suite Familiare,4,0,0,3040.0,0.0,0.0
2024,2024-08,PEAK,15-30,5375,Villino 2Ten,4,1,1,2615.0,25.0,25.0
2024,2024-08,PEAK,15-30,5376,Villino Double,1,0,0,3590.0,0.0,0.0
2024,2024-08,PEAK,31-60,2761,Camera  Standard,122,3,2,3096.89,2.46,1.64
2024,2024-08,PEAK,31-60,2762,Camera Superior,100,3,2,3341.56,3.0,2.0
2024,2024-08,PEAK,31-60,2763,Camera Deluxe,106,1,0,3461.46,0.94,0.0
2024,2024-08,PEAK,31-60,2764,Appartamento Area Giardino,38,1,0,4420.79,2.63,0.0
2024,2024-08,PEAK,31-60,2765,Appartamento Area Piscina,161,9,9,3810.61,5.59,5.59
2024,2024-08,PEAK,31-60,2767,Suite Familiare Vista Piscina,1,0,0,4440.0,0.0,0.0
2024,2024-08,PEAK,31-60,3231,Suite Familiare,4,0,0,4402.5,0.0,0.0
2024,2024-08,PEAK,31-60,5375,Villino 2Ten,4,0,0,2665.0,0.0,0.0
2024,2024-08,PEAK,31-60,5376,Villino Double,3,0,0,3790.0,0.0,0.0
2024,2024-08,PEAK,61-90,2761,Camera  Standard,100,0,0,3236.57,0.0,0.0
2024,2024-08,PEAK,61-90,2762,Camera Superior,88,0,0,3376.55,0.0,0.0
2024,2024-08,PEAK,61-90,2763,Camera Deluxe,65,1,1,3655.64,1.54,1.54
2024,2024-08,PEAK,61-90,2764,Appartamento Area Giardino,13,0,0,3063.08,0.0,0.0
2024,2024-08,PEAK,61-90,2765,Appartamento Area Piscina,87,0,0,4156.72,0.0,0.0
2024,2024-08,PEAK,61-90,2767,Suite Familiare Vista Piscina,1,0,0,8690.0,0.0,0.0
2024,2024-08,PEAK,61-90,5375,Villino 2Ten,7,0,0,3304.29,0.0,0.0
2024,2024-08,PEAK,61-90,5376,Villino Double,4,0,0,4065.0,0.0,0.0
2024,2024-08,PEAK,91-180,2761,Camera  Standard,137,1,0,3213.75,0.73,0.0
2024,2024-08,PEAK,91-180,2762,Camera Superior,124,1,1,3436.63,0.81,0.81
2024,2024-08,PEAK,91-180,2763,Camera Deluxe,98,5,4,3865.41,5.1,4.08
2024,2024-08,PEAK,91-180,2764,Appartamento Area Giardino,115,5,4,3703.39,4.35,3.48
2024,2024-08,PEAK,91-180,2765,Appartamento Area Piscina,188,8,7,3970.14,4.26,3.72
2024,2024-08,PEAK,91-180,3231,Suite Familiare,1,0,0,4190.0,0.0,0.0
2024,2024-08,PEAK,91-180,5375,Villino 2Ten,16,2,1,3408.75,12.5,6.25
2024,2024-08,PEAK,91-180,5376,Villino Double,2,0,0,3290.0,0.0,0.0
2024,2024-08,PEAK,181+,2761,Camera  Standard,61,0,0,3152.3,0.0,0.0
2024,2024-08,PEAK,181+,2762,Camera Superior,74,0,0,3486.07,0.0,0.0
2024,2024-08,PEAK,181+,2763,Camera Deluxe,45,1,0,4005.19,2.22,0.0
2024,2024-08,PEAK,181+,2764,Appartamento Area Giardino,90,3,3,3959.22,3.33,3.33
2024,2024-08,PEAK,181+,2765,Appartamento Area Piscina,28,0,0,4070.36,0.0,0.0
2024,2024-08,PEAK,181+,2767,Suite Familiare Vista Piscina,2,0,0,6890.0,0.0,0.0
2024,2024-08,PEAK,181+,5375,Villino 2Ten,5,0,0,3610.0,0.0,0.0
2024,2024-08,PEAK,181+,5376,Villino Double,2,1,1,5750.0,50.0,50.0
2024,2024-09,SHOULDER,0-7,2761,Camera  Standard,4,0,0,527.5,0.0,0.0
2024,2024-09,SHOULDER,0-7,2762,Camera Superior,3,0,0,330.0,0.0,0.0
2024,2024-09,SHOULDER,0-7,2763,Camera Deluxe,1,1,1,713.0,100.0,100.0
2024,2024-09,SHOULDER,0-7,2764,Appartamento Area Giardino,21,3,3,1401.93,14.29,14.29
2024,2024-09,SHOULDER,0-7,2765,Appartamento Area Piscina,10,2,2,1200.0,20.0,20.0
2024,2024-09,SHOULDER,8-14,2761,Camera  Standard,37,1,1,1107.16,2.7,2.7
2024,2024-09,SHOULDER,8-14,2762,Camera Superior,13,0,0,1065.64,0.0,0.0
2024,2024-09,SHOULDER,8-14,2763,Camera Deluxe,5,0,0,1390.0,0.0,0.0
2024,2024-09,SHOULDER,8-14,2764,Appartamento Area Giardino,64,1,1,1734.79,1.56,1.56
2024,2024-09,SHOULDER,8-14,2765,Appartamento Area Piscina,17,1,1,1476.78,5.88,5.88
2024,2024-09,SHOULDER,8-14,3231,Suite Familiare,6,0,0,2356.67,0.0,0.0
2024,2024-09,SHOULDER,15-30,2761,Camera  Standard,85,2,2,1131.25,2.35,2.35
2024,2024-09,SHOULDER,15-30,2762,Camera Superior,16,0,0,1502.5,0.0,0.0
2024,2024-09,SHOULDER,15-30,2763,Camera Deluxe,14,0,0,1644.29,0.0,0.0
2024,2024-09,SHOULDER,15-30,2764,Appartamento Area Giardino,55,1,1,1467.15,1.82,1.82
2024,2024-09,SHOULDER,15-30,2765,Appartamento Area Piscina,34,3,3,1460.26,8.82,8.82
2024,2024-09,SHOULDER,15-30,3231,Suite Familiare,1,0,0,2390.0,0.0,0.0
2024,2024-09,SHOULDER,31-60,2761,Camera  Standard,55,3,3,1192.67,5.45,5.45
2024,2024-09,SHOULDER,31-60,2762,Camera Superior,37,0,0,1536.15,0.0,0.0
2024,2024-09,SHOULDER,31-60,2763,Camera Deluxe,33,1,1,1807.47,3.03,3.03
2024,2024-09,SHOULDER,31-60,2764,Appartamento Area Giardino,15,3,1,1437.33,20.0,6.67
2024,2024-09,SHOULDER,31-60,2765,Appartamento Area Piscina,31,1,1,1752.69,3.23,3.23
2024,2024-09,SHOULDER,31-60,2767,Suite Familiare Vista Piscina,2,1,0,2122.5,50.0,0.0
2024,2024-09,SHOULDER,31-60,3231,Suite Familiare,1,0,0,2110.0,0.0,0.0
2024,2024-09,SHOULDER,31-60,5375,Villino 2Ten,2,0,0,1430.0,0.0,0.0
2024,2024-09,SHOULDER,31-60,5376,Villino Double,1,0,0,2190.0,0.0,0.0
2024,2024-09,SHOULDER,61-90,2761,Camera  Standard,53,0,0,1238.58,0.0,0.0
2024,2024-09,SHOULDER,61-90,2762,Camera Superior,50,0,0,1538.8,0.0,0.0
2024,2024-09,SHOULDER,61-90,2763,Camera Deluxe,32,1,1,1801.46,3.12,3.12
2024,2024-09,SHOULDER,61-90,2764,Appartamento Area Giardino,48,1,1,1889.54,2.08,2.08
2024,2024-09,SHOULDER,61-90,2765,Appartamento Area Piscina,25,1,1,1940.2,4.0,4.0
2024,2024-09,SHOULDER,61-90,2767,Suite Familiare Vista Piscina,1,0,0,2460.0,0.0,0.0
2024,2024-09,SHOULDER,61-90,5376,Villino Double,2,0,0,1890.0,0.0,0.0
2024,2024-09,SHOULDER,91-180,2761,Camera  Standard,77,2,2,1331.3,2.6,2.6
2024,2024-09,SHOULDER,91-180,2762,Camera Superior,68,1,1,1559.19,1.47,1.47
2024,2024-09,SHOULDER,91-180,2763,Camera Deluxe,49,0,0,1771.02,0.0,0.0
2024,2024-09,SHOULDER,91-180,2764,Appartamento Area Giardino,83,2,0,1819.72,2.41,0.0
2024,2024-09,SHOULDER,91-180,2765,Appartamento Area Piscina,43,2,2,1786.22,4.65,4.65
2024,2024-09,SHOULDER,91-180,5375,Villino 2Ten,10,1,1,1370.0,10.0,10.0
2024,2024-09,SHOULDER,91-180,5376,Villino Double,6,0,0,2095.0,0.0,0.0
2024,2024-09,SHOULDER,181+,2761,Camera  Standard,12,1,1,1426.94,8.33,8.33
2024,2024-09,SHOULDER,181+,2762,Camera Superior,6,0,0,1646.11,0.0,0.0
2024,2024-09,SHOULDER,181+,2763,Camera Deluxe,7,0,0,1675.71,0.0,0.0
2024,2024-09,SHOULDER,181+,2764,Appartamento Area Giardino,12,0,0,1763.33,0.0,0.0
2024,2024-09,SHOULDER,181+,2765,Appartamento Area Piscina,2,0,0,1490.0,0.0,0.0
2024,2024-09,SHOULDER,181+,5375,Villino 2Ten,2,0,0,1315.0,0.0,0.0
2025,2025-05,LOW,0-7,2762,Camera Superior,1,0,0,336.0,0.0,0.0
2025,2025-05,LOW,0-7,2764,Appartamento Area Giardino,1,0,0,1470.0,0.0,0.0
2025,2025-05,LOW,8-14,2764,Appartamento Area Giardino,7,0,0,617.13,0.0,0.0
2025,2025-05,LOW,8-14,2765,Appartamento Area Piscina,2,0,0,920.5,0.0,0.0
2025,2025-05,LOW,15-30,2761,Camera  Standard,7,2,1,645.95,28.57,14.29
2025,2025-05,LOW,15-30,2762,Camera Superior,15,4,2,334.36,26.67,13.33
2025,2025-05,LOW,15-30,2763,Camera Deluxe,17,2,0,437.37,11.76,0.0
2025,2025-05,LOW,15-30,2764,Appartamento Area Giardino,39,3,2,575.8,7.69,5.13
2025,2025-05,LOW,15-30,2765,Appartamento Area Piscina,10,6,5,565.24,60.0,50.0
2025,2025-05,LOW,15-30,2767,Suite Familiare Vista Piscina,2,0,0,702.0,0.0,0.0
2025,2025-05,LOW,15-30,3231,Suite Familiare,1,0,0,504.0,0.0,0.0
2025,2025-05,LOW,31-60,2761,Camera  Standard,13,2,1,510.41,15.38,7.69
2025,2025-05,LOW,31-60,2762,Camera Superior,6,1,1,389.56,16.67,16.67
2025,2025-05,LOW,31-60,2763,Camera Deluxe,3,0,0,536.05,0.0,0.0
2025,2025-05,LOW,31-60,2764,Appartamento Area Giardino,3,0,0,548.67,0.0,0.0
2025,2025-05,LOW,31-60,2765,Appartamento Area Piscina,2,0,0,659.5,0.0,0.0
2025,2025-05,LOW,31-60,3231,Suite Familiare,1,0,0,707.0,0.0,0.0
2025,2025-05,LOW,61-90,2761,Camera  Standard,4,1,1,744.06,25.0,25.0
2025,2025-05,LOW,61-90,2763,Camera Deluxe,3,0,0,1109.32,0.0,0.0
2025,2025-05,LOW,61-90,2764,Appartamento Area Giardino,2,0,0,7517.12,0.0,0.0
2025,2025-05,LOW,61-90,2765,Appartamento Area Piscina,1,0,0,2364.0,0.0,0.0
2025,2025-05,LOW,91-180,2761,Camera  Standard,1,0,0,145.22,0.0,0.0
2025,2025-05,LOW,91-180,2762,Camera Superior,1,0,0,1667.78,0.0,0.0
2025,2025-05,LOW,91-180,2763,Camera Deluxe,1,0,0,1771.35,0.0,0.0
2025,2025-06,SHOULDER,0-7,2761,Camera  Standard,25,8,6,485.0,32.0,24.0
2025,2025-06,SHOULDER,0-7,2762,Camera Superior,21,7,5,660.94,33.33,23.81
2025,2025-06,SHOULDER,0-7,2763,Camera Deluxe,7,1,1,649.29,14.29,14.29
2025,2025-06,SHOULDER,0-7,2764,Appartamento Area Giardino,55,13,12,863.29,23.64,21.82
2025,2025-06,SHOULDER,0-7,2765,Appartamento Area Piscina,16,3,3,898.31,18.75,18.75
2025,2025-06,SHOULDER,0-7,2767,Suite Familiare Vista Piscina,2,1,0,1111.5,50.0,0.0
2025,2025-06,SHOULDER,0-7,5375,Villino 2Ten,1,0,0,1321.18,0.0,0.0
2025,2025-06,SHOULDER,8-14,2761,Camera  Standard,30,6,5,612.39,20.0,16.67
2025,2025-06,SHOULDER,8-14,2762,Camera Superior,14,4,2,817.38,28.57,14.29
2025,2025-06,SHOULDER,8-14,2763,Camera Deluxe,8,2,1,711.12,25.0,12.5
2025,2025-06,SHOULDER,8-14,2764,Appartamento Area Giardino,69,8,7,1232.7,11.59,10.14
2025,2025-06,SHOULDER,8-14,2765,Appartamento Area Piscina,31,6,4,938.29,19.35,12.9
2025,2025-06,SHOULDER,8-14,2767,Suite Familiare Vista Piscina,1,0,0,659.0,0.0,0.0
2025,2025-06,SHOULDER,8-14,5375,Villino 2Ten,1,0,0,1135.0,0.0,0.0
2025,2025-06,SHOULDER,15-30,2761,Camera  Standard,62,3,3,881.24,4.84,4.84
2025,2025-06,SHOULDER,15-30,2762,Camera Superior,52,1,0,1257.19,1.92,0.0
2025,2025-06,SHOULDER,15-30,2763,Camera Deluxe,49,1,1,1360.04,2.04,2.04
2025,2025-06,SHOULDER,15-30,2764,Appartamento Area Giardino,119,5,2,1647.89,4.2,1.68
2025,2025-06,SHOULDER,15-30,2765,Appartamento Area Piscina,59,4,4,1344.03,6.78,6.78
2025,2025-06,SHOULDER,15-30,2767,Suite Familiare Vista Piscina,4,1,0,2177.88,25.0,0.0
2025,2025-06,SHOULDER,15-30,3231,Suite Familiare,2,0,0,1578.75,0.0,0.0
2025,2025-06,SHOULDER,15-30,5376,Villino Double,1,1,0,1315.0,100.0,0.0
