stay_year,stay_month,season_band,booking_window_band,requests,quoted_requests,converted_requests,quote_rate_pct,conversion_pct,avg_requested_lead_time
2025,2025-11,LOW,0-7,2,0,0,0.0,0.0,3.0
2025,2025-11,LOW,8-14,5,0,0,0.0,0.0,10.6
2025,2025-11,LOW,15-30,1,0,0,0.0,0.0,20.0
2025,2025-12,LOW,0-7,6,0,0,0.0,0.0,3.67
2025,2025-12,LOW,8-14,3,0,0,0.0,0.0,13.67
2025,2025-12,LOW,15-30,2,0,0,0.0,0.0,21.5
2025,2025-12,LOW,31-60,4,0,0,0.0,0.0,48.5
2025,2025-12,LOW,61-90,4,0,0,0.0,0.0,78.5
2026,2026-01,LOW,0-7,2,0,0,0.0,0.0,3.5
2026,2026-01,LOW,8-14,4,0,0,0.0,0.0,10.0
2026,2026-01,LOW,15-30,4,0,0,0.0,0.0,24.75
2026,2026-01,LOW,31-60,1,0,0,0.0,0.0,43.0
2026,2026-01,LOW,61-90,1,0,0,0.0,0.0,88.0
2026,2026-01,LOW,91-180,1,0,0,0.0,0.0,123.0
2026,2026-02,LOW,0-7,4,0,0,0.0,0.0,3.25
2026,2026-02,LOW,8-14,3,0,0,0.0,0.0,9.33
2026,2026-02,LOW,15-30,5,0,0,0.0,0.0,22.0
2026,2026-03,LOW,0-7,4,0,0,0.0,0.0,4.25
2026,2026-03,LOW,8-14,1,0,0,0.0,0.0,11.0
2026,2026-03,LOW,15-30,2,0,0,0.0,0.0,20.0
2026,2026-03,LOW,31-60,1,0,0,0.0,0.0,31.0
2026,2026-04,LOW,0-7,7,0,0,0.0,0.0,3.43
2026,2026-04,LOW,8-14,8,0,0,0.0,0.0,10.5
2026,2026-04,LOW,15-30,15,0,0,0.0,0.0,21.67
2026,2026-04,LOW,31-60,10,0,0,0.0,0.0,40.1
2026,2026-04,LOW,61-90,2,0,0,0.0,0.0,75.0
2026,2026-04,LOW,91-180,3,0,0,0.0,0.0,104.67
2026,2026-05,LOW,0-7,79,38,3,48.1,3.8,3.16
2026,2026-05,LOW,8-14,22,13,2,59.09,9.09,10.18
2026,2026-05,LOW,15-30,45,25,1,55.56,2.22,23.33
2026,2026-05,LOW,31-60,49,22,2,46.0,4.0,44.42
2026,2026-05,LOW,61-90,18,10,0,55.56,0.0,75.56
2026,2026-05,LOW,91-180,46,24,3,53.19,6.38,118.68
2026,2026-05,LOW,181+,5,3,0,60.0,0.0,236.8
2026,2026-06,SHOULDER,0-7,158,91,7,57.59,4.43,4.53
2026,2026-06,SHOULDER,8-14,120,80,7,65.57,5.74,11.11
2026,2026-06,SHOULDER,15-30,287,201,20,69.52,6.85,22.65
2026,2026-06,SHOULDER,31-60,335,254,15,75.67,4.45,44.35
2026,2026-06,SHOULDER,61-90,329,280,8,85.11,2.43,75.41
2026,2026-06,SHOULDER,91-180,666,426,9,63.96,1.35,127.98
2026,2026-06,SHOULDER,181+,84,55,2,65.48,2.38,220.18
2026,2026-07,PEAK,0-7,223,152,3,68.16,1.35,4.11
2026,2026-07,PEAK,8-14,258,186,4,72.09,1.55,10.93
2026,2026-07,PEAK,15-30,595,455,3,76.47,0.5,22.05
2026,2026-07,PEAK,31-60,802,591,5,73.69,0.62,44.01
2026,2026-07,PEAK,61-90,551,482,17,87.48,3.09,75.31
2026,2026-07,PEAK,91-180,1389,1111,33,80.04,2.37,129.68
2026,2026-07,PEAK,181+,212,137,4,64.62,1.89,209.23
