stay_year,stay_month,season_band,room_id,room_name,confirmed_bookings,room_nights,revenue,avg_adr,avg_los,avg_booking_window,total_bookings,canceled_bookings,cancellation_rate_pct,occupied_room_nights,available_room_nights,occupancy_pct,revpar,reliability
2024,2024-07,PEAK,2763,Camera Deluxe,26,179,57680.5,317.77,6.88,72.31,28,2.0,7.14,192,155,123.87,393.62,LOW
2024,2024-07,PEAK,2764,Appartamento Area Giardino,112,908,116834.0,133.44,8.11,98.22,132,19.0,14.39,1017,868,117.17,156.35,HIGH
2024,2024-07,PEAK,2765,Appartamento Area Piscina,54,398,116411.5,279.0,7.37,62.37,67,12.0,17.91,389,558,69.71,194.5,MEDIUM
2024,2024-07,PEAK,2767,Suite Familiare Vista Piscina,4,27,9897.0,367.1,6.75,50.0,4,0.0,0.0,30,31,96.77,355.25,INSUFFICIENT
2024,2024-07,PEAK,3231,Suite Familiare,2,12,4945.0,408.64,6.0,13.0,2,0.0,0.0,22,31,70.97,290.01,INSUFFICIENT
2024,2024-07,PEAK,5375,Villino 2Ten,2,13,1473.0,122.75,6.5,99.0,4,2.0,50.0,13,31,41.94,51.48,INSUFFICIENT
2024,2024-07,PEAK,5376,Villino Double,2,21,8630.5,402.54,10.5,57.0,3,1.0,33.33,25,31,80.65,324.62,INSUFFICIENT
2024,2024-08,PEAK,2761,Camera  Standard,47,322,54740.5,152.16,6.85,62.74,68,20.0,29.41,319,434,73.5,111.84,MEDIUM
2024,2024-08,PEAK,2762,Camera Superior,39,247,69409.5,249.71,6.33,23.82,53,14.0,26.42,260,248,104.84,261.79,MEDIUM
2024,2024-08,PEAK,2763,Camera Deluxe,28,194,68395.0,340.47,6.93,34.36,35,6.0,17.14,200,155,129.03,439.31,LOW
2024,2024-08,PEAK,2764,Appartamento Area Giardino,123,965,116570.5,117.61,7.85,113.21,133,9.0,6.77,951,868,109.56,128.86,HIGH
2024,2024-08,PEAK,2765,Appartamento Area Piscina,61,461,152908.5,338.41,7.56,60.98,78,16.0,20.51,485,558,86.92,294.14,MEDIUM
2024,2024-08,PEAK,2767,Suite Familiare Vista Piscina,4,35,14760.0,446.96,8.75,10.0,5,1.0,20.0,31,31,100.0,446.96,INSUFFICIENT
2024,2024-08,PEAK,3231,Suite Familiare,1,5,2490.0,498.0,5.0,12.0,5,4.0,80.0,7,31,22.58,112.45,INSUFFICIENT
2024,2024-08,PEAK,5375,Villino 2Ten,6,38,8250.5,196.44,6.33,60.17,9,3.0,33.33,32,31,103.23,202.78,INSUFFICIENT
2024,2024-08,PEAK,5376,Villino Double,3,29,12047.0,414.57,9.67,89.0,6,2.0,33.33,30,31,96.77,401.2,INSUFFICIENT
2024,2024-09,SHOULDER,2761,Camera  Standard,33,205,25746.5,124.16,6.21,96.88,41,6.0,14.63,242,420,57.62,71.54,MEDIUM
2024,2024-09,SHOULDER,2762,Camera Superior,22,121,16815.13,126.35,5.5,62.0,32,9.0,28.12,121,240,50.42,63.7,LOW
2024,2024-09,SHOULDER,2763,Camera Deluxe,16,82,15686.7,180.48,5.12,30.69,21,3.0,14.29,101,150,67.33,121.52,LOW
2024,2024-09,SHOULDER,2764,Appartamento Area Giardino,43,256,41625.93,157.26,5.95,45.95,55,12.0,21.82,379,840,45.12,70.96,MEDIUM
2024,2024-09,SHOULDER,2765,Appartamento Area Piscina,30,174,34023.5,175.43,5.8,49.37,34,4.0,11.76,215,540,39.81,69.85,MEDIUM
2024,2024-09,SHOULDER,3231,Suite Familiare,2,14,1800.0,128.57,7.0,65.0,2,0.0,0.0,14,30,46.67,60.0,INSUFFICIENT
2024,2024-09,SHOULDER,5375,Villino 2Ten,1,7,990.0,141.43,7.0,172.0,2,1.0,50.0,13,30,43.33,61.29,INSUFFICIENT
2024,2024-09,SHOULDER,5376,Villino Double,3,14,3271.0,227.5,4.67,46.0,3,0.0,0.0,15,30,50.0,113.75,INSUFFICIENT
2025,2025-05,LOW,2761,Camera  Standard,16,36,8045.0,195.83,2.25,38.0,22,6.0,27.27,18,434,4.15,8.12,LOW
2025,2025-05,LOW,2762,Camera Superior,9,22,2124.64,110.26,2.44,23.89,11,2.0,18.18,12,248,4.84,5.33,INSUFFICIENT
2025,2025-05,LOW,2763,Camera Deluxe,3,5,235.0,63.33,1.67,12.0,4,1.0,25.0,4,155,2.58,1.63,INSUFFICIENT
2025,2025-05,LOW,2764,Appartamento Area Giardino,14,35,4969.56,135.26,2.5,17.43,14,0.0,0.0,15,868,1.73,2.34,LOW
2025,2025-05,LOW,2765,Appartamento Area Piscina,17,38,7860.05,221.3,2.24,22.29,20,3.0,15.0,20,558,3.58,7.93,LOW
2025,2025-05,LOW,2767,Suite Familiare Vista Piscina,1,2,0.0,0.0,2.0,20.0,2,1.0,50.0,1,31,3.23,0.0,INSUFFICIENT
2025,2025-06,SHOULDER,2761,Camera  Standard,83,307,43529.66,129.66,3.7,36.65,108,25.0,23.15,297,420,70.71,91.69,MEDIUM
2025,2025-06,SHOULDER,2762,Camera Superior,42,195,28399.76,132.19,4.64,34.57,57,15.0,26.32,186,240,77.5,102.45,MEDIUM
2025,2025-06,SHOULDER,2763,Camera Deluxe,25,126,25362.15,196.45,5.04,88.2,28,3.0,10.71,102,150,68.0,133.59,LOW
2025,2025-06,SHOULDER,2764,Appartamento Area Giardino,97,464,78725.97,171.92,4.78,34.91,112,15.0,13.39,381,840,45.36,77.98,MEDIUM
2025,2025-06,SHOULDER,2765,Appartamento Area Piscina,75,385,67330.32,164.3,5.13,33.24,102,27.0,26.47,334,540,61.85,101.62,MEDIUM
2025,2025-06,SHOULDER,2767,Suite Familiare Vista Piscina,4,20,4561.4,193.87,5.0,75.25,6,2.0,33.33,19,30,63.33,122.78,INSUFFICIENT
2025,2025-06,SHOULDER,3231,Suite Familiare,1,10,2323.5,232.35,10.0,207.0,2,1.0,50.0,8,30,26.67,61.96,INSUFFICIENT
2025,2025-06,SHOULDER,5375,Villino 2Ten,2,14,1190.0,85.0,7.0,82.0,3,1.0,33.33,9,30,30.0,25.5,INSUFFICIENT
2025,2025-06,SHOULDER,5376,Villino Double,1,7,2876.5,410.93,7.0,118.0,4,3.0,75.0,3,30,10.0,41.09,INSUFFICIENT
2025,2025-07,PEAK,2761,Camera  Standard,107,465,78565.94,151.45,4.35,40.03,160,53.0,33.12,466,434,107.37,162.62,HIGH
2025,2025-07,PEAK,2762,Camera Superior,50,267,51954.52,198.84,5.34,58.94,68,18.0,26.47,251,248,101.21,201.25,MEDIUM
2025,2025-07,PEAK,2763,Camera Deluxe,28,155,34747.58,218.6,5.54,55.14,47,19.0,40.43,152,155,98.06,214.37,LOW
2025,2025-07,PEAK,2764,Appartamento Area Giardino,101,763,118266.51,168.87,7.55,91.97,121,20.0,16.53,809,868,93.2,157.39,HIGH
2025,2025-07,PEAK,2765,Appartamento Area Piscina,71,526,117427.9,231.26,7.41,43.25,94,23.0,24.47,526,558,94.27,217.99,MEDIUM
2025,2025-07,PEAK,2767,Suite Familiare Vista Piscina,1,7,2496.65,356.66,7.0,73.0,3,2.0,66.67,7,31,22.58,80.54,INSUFFICIENT
2025,2025-07,PEAK,3231,Suite Familiare,7,32,10153.7,205.56,4.57,30.29,7,0.0,0.0,22,31,70.97,145.88,INSUFFICIENT
2025,2025-07,PEAK,5375,Villino 2Ten,2,15,2890.0,103.22,7.5,101.5,2,0.0,0.0,20,31,64.52,66.59,INSUFFICIENT
2025,2025-07,PEAK,5376,Villino Double,5,25,6533.05,204.49,5.0,13.6,6,1.0,16.67,29,31,93.55,191.3,INSUFFICIENT
2025,2025-08,PEAK,2761,Camera  Standard,87,446,91810.38,186.46,5.13,59.86,142,55.0,38.73,427,434,98.39,183.45,MEDIUM
2025,2025-08,PEAK,2762,Camera Superior,50,267,68708.18,240.91,5.34,62.12,80,30.0,37.5,271,248,109.27,263.26,MEDIUM
2025,2025-08,PEAK,2763,Camera Deluxe,17,98,28725.7,253.81,5.76,77.41,30,13.0,43.33,120,155,77.42,196.5,LOW
2025,2025-08,PEAK,2764,Appartamento Area Giardino,117,890,149321.26,170.07,7.61,103.94,140,23.0,16.43,838,868,96.54,164.19,HIGH
2025,2025-08,PEAK,2765,Appartamento Area Piscina,74,563,129428.18,234.71,7.61,65.77,91,17.0,18.68,565,558,101.25,237.65,MEDIUM
2025,2025-08,PEAK,2767,Suite Familiare Vista Piscina,7,29,11563.0,339.81,4.14,74.57,8,1.0,12.5,25,31,80.65,274.04,INSUFFICIENT
2025,2025-08,PEAK,3231,Suite Familiare,3,7,1630.0,181.11,2.33,27.0,3,0.0,0.0,19,31,61.29,111.0,INSUFFICIENT
2025,2025-08,PEAK,5375,Villino 2Ten,3,23,8295.15,266.25,7.67,30.67,3,0.0,0.0,23,31,74.19,197.54,INSUFFICIENT
2025,2025-08,PEAK,5376,Villino Double,5,28,5480.0,179.07,5.6,28.2,8,3.0,37.5,28,31,90.32,161.74,INSUFFICIENT
2025,2025-09,SHOULDER,2761,Camera  Standard,61,169,21676.95,123.33,2.77,13.23,78,17.0,21.79,215,420,51.19,63.13,MEDIUM
2025,2025-09,SHOULDER,2762,Camera Superior,27,82,13285.05,150.46,3.04,24.67,40,13.0,32.5,113,240,47.08,70.84,LOW
2025,2025-09,SHOULDER,2763,Camera Deluxe,14,63,12700.31,206.05,4.5,21.64,18,4.0,22.22,69,150,46.0,94.78,LOW
2025,2025-09,SHOULDER,2764,Appartamento Area Giardino,43,152,30852.14,204.68,3.53,9.53,51,8.0,15.69,261,840,31.07,63.6,MEDIUM
2025,2025-09,SHOULDER,2765,Appartamento Area Piscina,30,152,26421.82,178.09,5.07,16.63,39,9.0,23.08,219,540,40.56,72.23,MEDIUM
2025,2025-09,SHOULDER,5376,Villino Double,2,2,0.0,0.0,1.0,3.0,2,0.0,0.0,2,30,6.67,0.0,INSUFFICIENT
2025,2025-11,LOW,2761,Camera  Standard,13,13,0.0,0.0,1.0,4.0,13,0.0,0.0,13,420,3.1,0.0,LOW
2025,2025-11,LOW,2762,Camera Superior,2,2,0.0,0.0,1.0,4.0,2,0.0,0.0,2,240,0.83,0.0,INSUFFICIENT
2025,2025-11,LOW,2763,Camera Deluxe,2,2,0.0,0.0,1.0,4.0,2,0.0,0.0,2,150,1.33,0.0,INSUFFICIENT
2025,2025-11,LOW,2767,Suite Familiare Vista Piscina,1,1,0.0,0.0,1.0,4.0,1,0.0,0.0,1,30,3.33,0.0,INSUFFICIENT
2026,2026-05,LOW,2761,Camera  Standard,29,80,14365.78,164.06,2.76,26.72,36,7.0,19.44,66,434,15.21,24.95,LOW
2026,2026-05,LOW,2762,Camera Superior,17,42,6666.38,152.65,2.47,24.0,19,2.0,10.53,33,248,13.31,20.31,LOW
2026,2026-05,LOW,2763,Camera Deluxe,5,16,2837.58,188.56,3.2,20.8,6,1.0,16.67,13,155,8.39,15.81,INSUFFICIENT
2026,2026-05,LOW,2764,Appartamento Area Giardino,54,141,24145.08,168.49,2.61,16.09,60,6.0,10.0,114,868,13.13,22.13,MEDIUM
2026,2026-05,LOW,2765,Appartamento Area Piscina,34,99,17708.38,174.44,2.91,29.91,37,3.0,8.11,67,558,12.01,20.94,MEDIUM
2026,2026-05,LOW,2767,Suite Familiare Vista Piscina,1,4,952.0,238.0,4.0,26.0,1,0.0,0.0,4,31,12.9,30.71,INSUFFICIENT
2026,2026-05,LOW,3231,Suite Familiare,1,3,420.0,140.0,3.0,24.0,1,0.0,0.0,3,31,9.68,13.55,INSUFFICIENT
2026,2026-05,LOW,5375,Villino 2Ten,2,5,561.0,121.84,2.5,26.0,2,0.0,0.0,4,31,12.9,15.72,INSUFFICIENT
2026,2026-05,LOW,5376,Villino Double,2,5,551.9,120.48,2.5,23.0,2,0.0,0.0,4,31,12.9,15.55,INSUFFICIENT
2026,2026-05,LOW,22380,OTA Camera Standard,2,4,565.68,141.42,2.0,20.0,2,0.0,0.0,2,93,2.15,3.04,INSUFFICIENT
2026,2026-06,SHOULDER,2761,Camera  Standard,74,340,48920.48,135.0,4.59,33.36,91,17.0,18.68,311,420,74.05,99.96,MEDIUM
2026,2026-06,SHOULDER,2762,Camera Superior,44,218,38930.37,159.01,4.95,37.61,57,13.0,22.81,189,240,78.75,125.22,MEDIUM
2026,2026-06,SHOULDER,2763,Camera Deluxe,13,78,15991.64,202.09,6.0,21.38,18,5.0,27.78,69,150,46.0,92.96,LOW
2026,2026-06,SHOULDER,2764,Appartamento Area Giardino,73,496,87028.34,174.13,6.79,82.21,84,11.0,13.1,404,840,48.1,83.75,MEDIUM
2026,2026-06,SHOULDER,2765,Appartamento Area Piscina,59,330,62356.83,183.62,5.59,40.66,67,8.0,11.94,306,540,56.67,104.05,MEDIUM
2026,2026-06,SHOULDER,3231,Suite Familiare,5,31,7703.95,220.65,6.2,70.0,6,1.0,16.67,29,30,96.67,213.3,INSUFFICIENT
2026,2026-06,SHOULDER,5375,Villino 2Ten,4,20,3551.35,162.61,5.0,28.0,4,0.0,0.0,17,30,56.67,92.15,INSUFFICIENT
2026,2026-06,SHOULDER,5376,Villino Double,3,23,6425.0,284.79,7.67,103.0,3,0.0,0.0,18,30,60.0,170.87,INSUFFICIENT
2026,2026-06,SHOULDER,22380,OTA Camera Standard,2,6,951.03,169.86,3.0,20.0,5,3.0,60.0,8,90,8.89,15.1,INSUFFICIENT
2026,2026-07,PEAK,2761,Camera  Standard,57,309,65004.03,206.42,5.42,58.47,72,13.0,18.06,412,420,98.1,202.49,MEDIUM
2026,2026-07,PEAK,2762,Camera Superior,35,207,51299.79,245.94,5.91,53.43,49,14.0,28.57,272,240,113.33,278.73,MEDIUM
2026,2026-07,PEAK,2763,Camera Deluxe,15,95,32898.69,351.76,6.33,54.27,18,2.0,11.11,112,150,74.67,262.65,LOW
2026,2026-07,PEAK,2764,Appartamento Area Giardino,86,596,110840.0,186.12,6.93,148.22,93,7.0,7.53,879,840,104.64,194.77,MEDIUM
2026,2026-07,PEAK,2765,Appartamento Area Piscina,58,357,106181.18,274.09,6.16,59.4,72,14.0,19.44,493,540,91.3,250.23,MEDIUM
2026,2026-07,PEAK,2767,Suite Familiare Vista Piscina,2,14,5992.45,428.03,7.0,72.0,3,1.0,33.33,14,30,46.67,199.75,INSUFFICIENT
2026,2026-07,PEAK,3231,Suite Familiare,1,2,300.0,150.0,2.0,4.0,1,0.0,0.0,4,30,13.33,20.0,INSUFFICIENT
2026,2026-07,PEAK,5375,Villino 2Ten,1,10,2100.0,210.0,10.0,73.0,1,0.0,0.0,14,30,46.67,98.0,INSUFFICIENT
2026,2026-07,PEAK,5376,Villino Double,2,16,5573.05,340.72,8.0,85.5,2,0.0,0.0,28,30,93.33,318.01,INSUFFICIENT
