stay_year,stay_month,season_band,arrangement_code,arrangement_name,confirmed_bookings,room_nights,revenue,avg_adr,avg_los,avg_booking_window,revenue_per_booking,total_bookings,canceled_bookings,cancellation_rate_pct,comparability_group,reliability
2024,2024-08,PEAK,RS,Formula Residence,9,83,0.0,0.0,9.22,143.89,0.0,9,0.0,0.0,SPECIAL_OR_NON_COMPARABLE,INSUFFICIENT
2024,2024-08,PEAK,SP,Solo Pernottamento,35,301,204.0,0.83,8.6,119.03,5.83,35,0.0,0.0,SPECIAL_OR_NON_COMPARABLE,MEDIUM
2024,2024-09,SHOULDER,FB,Pensione Completa,71,396,70898.0,163.16,5.58,57.2,998.56,98,22.0,22.45,COMPARABLE_COMMERCIAL,MEDIUM
2024,2024-09,SHOULDER,HB,Mezza Pensione,74,453,65809.85,144.93,6.12,63.16,889.32,86,12.0,13.95,COMPARABLE_COMMERCIAL,MEDIUM
2024,2024-09,SHOULDER,HBL,Mezza Pensione Pranzo,2,14,3080.0,220.0,7.0,25.0,1540.0,2,0.0,0.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-09,SHOULDER,NB,No Board,2,3,170.91,61.09,1.5,4.0,85.46,3,1.0,33.33,SPECIAL_OR_NON_COMPARABLE,INSUFFICIENT
2024,2024-09,SHOULDER,RS,Formula Residence,1,7,0.0,0.0,7.0,156.0,0.0,1,0.0,0.0,SPECIAL_OR_NON_COMPARABLE,INSUFFICIENT
2025,2025-05,LOW,BB,Bed & Breakfast,15,41,6639.65,155.95,2.73,27.53,442.64,18,3.0,16.67,COMPARABLE_COMMERCIAL,LOW
2025,2025-05,LOW,FB,Pensione Completa,30,64,11974.35,191.58,2.13,24.93,399.15,34,4.0,11.76,COMPARABLE_COMMERCIAL,MEDIUM
2025,2025-05,LOW,HB,Mezza Pensione,15,33,4620.25,125.66,2.2,22.73,308.02,21,6.0,28.57,COMPARABLE_COMMERCIAL,LOW
2025,2025-06,SHOULDER,BB,Bed & Breakfast,89,301,32940.09,102.79,3.38,28.71,370.11,109,20.0,18.35,COMPARABLE_COMMERCIAL,MEDIUM
2025,2025-06,SHOULDER,FB,Pensione Completa,82,405,84593.88,202.72,4.94,55.87,1031.63,117,35.0,29.91,COMPARABLE_COMMERCIAL,MEDIUM
2025,2025-06,SHOULDER,HB,Mezza Pensione,145,731,130649.5,171.77,5.04,35.78,901.03,177,32.0,18.08,COMPARABLE_COMMERCIAL,HIGH
2025,2025-06,SHOULDER,OB,Only Bed,14,91,6115.79,81.0,6.5,74.57,436.84,19,5.0,26.32,COMPARABLE_COMMERCIAL,LOW
2025,2025-07,PEAK,BB,Bed & Breakfast,73,390,58590.7,155.08,5.34,46.68,802.61,102,29.0,28.43,COMPARABLE_COMMERCIAL,MEDIUM
2025,2025-07,PEAK,FB,Pensione Completa,107,582,126450.58,184.73,5.44,53.45,1181.78,160,53.0,33.12,COMPARABLE_COMMERCIAL,HIGH
2025,2025-07,PEAK,HB,Mezza Pensione,156,931,217181.59,225.62,5.97,53.07,1392.19,206,50.0,24.27,COMPARABLE_COMMERCIAL,HIGH
2025,2025-07,PEAK,OB,Only Bed,36,352,20812.98,69.01,9.78,119.0,578.14,40,4.0,10.0,COMPARABLE_COMMERCIAL,MEDIUM
2025,2025-08,PEAK,BB,Bed & Breakfast,69,359,59031.89,167.64,5.2,60.42,855.53,92,23.0,25.0,COMPARABLE_COMMERCIAL,MEDIUM
2025,2025-08,PEAK,FB,Pensione Completa,83,469,120109.09,219.48,5.65,57.39,1447.1,149,66.0,44.3,COMPARABLE_COMMERCIAL,MEDIUM
2025,2025-08,PEAK,HB,Mezza Pensione,157,1037,266529.52,252.85,6.61,70.4,1697.64,205,48.0,23.41,COMPARABLE_COMMERCIAL,HIGH
2025,2025-08,PEAK,OB,Only Bed,54,486,49291.35,92.27,9.0,139.06,912.8,59,5.0,8.47,COMPARABLE_COMMERCIAL,MEDIUM
2025,2025-09,SHOULDER,BB,Bed & Breakfast,35,115,12733.71,110.61,3.29,12.83,363.82,52,17.0,32.69,COMPARABLE_COMMERCIAL,MEDIUM
2025,2025-09,SHOULDER,FB,Pensione Completa,36,113,20645.5,150.23,3.14,16.56,573.49,47,11.0,23.4,COMPARABLE_COMMERCIAL,MEDIUM
2025,2025-09,SHOULDER,HB,Mezza Pensione,105,387,71057.06,183.19,3.69,15.68,676.73,128,23.0,17.97,COMPARABLE_COMMERCIAL,HIGH
2025,2025-09,SHOULDER,OB,Only Bed,1,5,500.0,100.0,5.0,0.0,500.0,1,0.0,0.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-11,LOW,NB,No Board,18,18,0.0,0.0,1.0,4.0,0.0,18,0.0,0.0,SPECIAL_OR_NON_COMPARABLE,LOW
2026,2026-05,LOW,FB,Pensione Completa,98,282,44015.75,149.76,2.88,26.98,449.14,107,9.0,8.41,COMPARABLE_COMMERCIAL,MEDIUM
2026,2026-05,LOW,HB,Mezza Pensione,48,114,18767.03,162.44,2.38,14.94,390.98,54,6.0,11.11,COMPARABLE_COMMERCIAL,MEDIUM
2026,2026-05,LOW,OB,Only Bed,1,3,5991.0,1997.0,3.0,0.0,5991.0,3,2.0,66.67,COMPARABLE_COMMERCIAL,INSUFFICIENT
2026,2026-06,SHOULDER,FB,Pensione Completa,75,387,79074.03,179.76,5.16,35.69,1054.32,89,14.0,15.73,COMPARABLE_COMMERCIAL,MEDIUM
2026,2026-06,SHOULDER,HB,Mezza Pensione,182,1019,187431.96,175.11,5.6,38.71,1029.85,226,44.0,19.47,COMPARABLE_COMMERCIAL,HIGH
2026,2026-06,SHOULDER,MUL,Multipropriet,18,133,5353.0,41.88,7.39,215.78,297.39,18,0.0,0.0,SPECIAL_OR_NON_COMPARABLE,LOW
2026,2026-06,SHOULDER,OB,Only Bed,2,3,0.0,0.0,1.5,3.0,0.0,2,0.0,0.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2026,2026-07,PEAK,FB,Pensione Completa,57,328,99528.08,271.42,5.75,55.91,1746.11,74,14.0,18.92,COMPARABLE_COMMERCIAL,MEDIUM
2026,2026-07,PEAK,HB,Mezza Pensione,152,934,250311.12,261.87,6.14,56.05,1646.78,187,35.0,18.72,COMPARABLE_COMMERCIAL,HIGH
2026,2026-07,PEAK,MUL,Multipropriet,46,342,30349.99,90.79,7.43,236.76,659.78,46,0.0,0.0,SPECIAL_OR_NON_COMPARABLE,MEDIUM
2026,2026-07,PEAK,OB,Only Bed,2,2,0.0,0.0,1.0,1.5,0.0,6,4.0,66.67,COMPARABLE_COMMERCIAL,INSUFFICIENT
