booking_code,dataset_year,status,booking_type,checkin_date,checkout_date,checkin_month,nights,adults_number,children_number,infants_number,guests_number,customer_code,customer_country,customer_province,customer_region,customer_lang,channel_code,channel_name,source,medium,room_id,room_name,arrangement_code,arrangement_name,policy_id,policy_name,agency_code,agency_kind,group_code,group_type,total_stay_amount,total_extra_amount,total_taxes_amount,total_amount,adr,creation_datetime,cancellation_datetime,lead_time_days,is_canceled
B-CA020C721892,2024,CONFIRMED,IND,2024-06-01,2024-06-08,2024-06,7,2,2,0,4,C-EDE893C8416E,IT,PG,UMBRIA,IT,bd,Booking Engine,DigitalDept_SPECIALE_GIUGNO,Conferma da Operatore,2763,Camera Deluxe,FB,Pensione Completa,1,Standard Policy,,,,,1190.0,103.5,0,1293.5,170.0,2023-11-23 12:51:48,,191,0
B-F01752C860F0,2024,CONFIRMED,IND,2024-07-06,2024-07-13,2024-07,7,2,0,0,2,C-AB60A4117596,IT,CO,LOMBARDIA,IT,bd,Booking Engine,direct,Conferma da Operatore,2761,Camera  Standard,FB,Pensione Completa,1,Standard Policy,,,,,1290.0,131.0,0,1421.0,184.29,2023-11-23 19:20:45,,226,0
B-50436C75D175,2024,CONFIRMED,IND,2024-06-23,2024-06-30,2024-06,7,2,0,0,2,C-642E40B2CF5A,IT,GR,TOSCANA,IT,bd,Booking Engine,DigitalDept_SPECIALE_PONTE-2-GIUGNO,Conferma da Operatore,2761,Camera  Standard,FB,Pensione Completa,1,Standard Policy,,,,,1090.0,60.5,0,1150.5,155.71,2023-11-24 18:06:45,,212,0
B-E0A6117A65E5,2024,CONFIRMED,IND,2024-06-16,2024-06-29,2024-06,13,2,0,1,3,C-95258A1DE55F,IT,FI,TOSCANA,IT,bd,Booking Engine,direct,Conferma da Operatore,2762,Camera Superior,FB,Pensione Completa,1,Standard Policy,,,,,2590.0,0,0,2590.0,199.23,2023-11-25 16:11:03,,204,0
B-B45B35C6BDF8,2024,CONFIRM_WAITING,IND,2024-07-20,2024-07-27,2024-07,7,2,2,1,5,C-8546FF320EF1,IT,,,IT,bd,Booking Engine,direct,Conferma da Operatore,2762,Camera Superior,HB,Mezza Pensione,1,Standard Policy,,,,,0,0,0,0,0.0,2023-11-28 10:12:18,,235,0
B-E8C4861E9D0C,2024,CONFIRMED,IND,2024-06-29,2024-07-06,2024-06,7,2,2,0,4,C-7ED0AA4A8209,IT,SA,CAMPANIA,IT,bd,Booking Engine,direct,Conferma da Operatore,2764,Appartamento Area Giardino,HB,Mezza Pensione,1,Standard Policy,,,,,1639.0,51.0,0,1690.0,234.14,2023-11-28 19:08:22,,214,0
B-1043B1897A94,2024,CANCELED,IND,2024-08-24,2024-08-31,2024-08,7,2,2,0,4,C-3CA1EA7D56F2,IT,,,IT,bd,Booking Engine,DigitalDept_SPECIALE_GIUGNO,Conferma da Operatore,2763,Camera Deluxe,HB,Mezza Pensione,1,Standard Policy,,,,,1990.0,0,0,1990.0,284.29,2023-11-29 19:18:11,2024-02-21 11:00:53,269,1
B-F4D95B152C1F,2024,CONFIRMED,IND,2024-06-30,2024-07-07,2024-06,7,2,2,0,4,C-88F99C1837E3,IT,BG,LOMBARDIA,IT,bd,Booking Engine,direct,Conferma da Operatore,2764,Appartamento Area Giardino,FB,Pensione Completa,1,Standard Policy,,,,,1800.0,0,0,1800.0,257.14,2023-11-30 13:56:59,,213,0
B-4593563A04F0,2024,CONFIRMED,IND,2024-08-24,2024-08-31,2024-08,7,2,2,0,4,C-206853E1C6C0,IT,TN,TRENTINO-ALTO ADIGE,IT,bd,Booking Engine,direct,Conferma da Operatore,2764,Appartamento Area Giardino,HB,Mezza Pensione,1,Standard Policy,,,,,2290.0,26.0,0,2316.0,327.14,2023-11-30 17:06:34,,268,0
B-484A82DFF384,2024,CANCELED,IND,2024-08-18,2024-08-31,2024-08,13,3,0,0,3,C-3833BECE7114,IT,,,IT,bd,Booking Engine,direct,Conferma da Operatore,5376,Villino Double,FB,Pensione Completa,1,Standard Policy,,,,,4910.0,0,0,4910.0,377.69,2023-11-30 17:45:32,2023-12-12 12:08:22,262,1
B-F6198E0BF39E,2024,CONFIRMED,GRP,2024-08-03,2024-08-17,2024-08,14,3,1,0,4,C-0E4FA6A8C6E2,IT,MI,LOMBARDIA,IT,bd,Booking Engine,direct,Conferma da Operatore,5376,Villino Double,HB,Mezza Pensione,1,Standard Policy,,,G-00F1C9BC,ind,6590.0,30.0,0,6620.0,470.71,2023-12-09 11:24:47,,238,0
B-5CE31C37132A,2024,CANCELED,IND,2024-06-07,2024-06-14,2024-06,7,2,0,1,3,C-4C62740EE002,IT,,,IT,bd,Booking Engine,direct,Conferma da Operatore,2761,Camera  Standard,HB,Mezza Pensione,1,Standard Policy,,,,,990.0,0,0,990.0,141.43,2023-12-11 13:07:59,2024-02-21 11:01:19,179,1
B-7AA56E5691BC,2024,CONFIRMED,GRP,2024-08-18,2024-09-01,2024-08,14,4,1,0,5,C-5DD14EB7DD39,IT,RM,LAZIO,IT,bd,Booking Engine,direct,Preventivo da Minisito,2764,Appartamento Area Giardino,FB,Pensione Completa,1,Standard Policy,,,G-00F1C9BC,ind,6290.0,110.0,0,6400.0,449.29,2023-12-14 19:11:55,,248,0
B-F7174AB67867,2024,CONFIRM_WAITING,IND,2024-06-12,2024-06-16,2024-06,4,2,1,0,3,C-A68C8D199126,IT,,,IT,crm,Diretto (CRM),crmdirect,Conferma da Operatore,2762,Camera Superior,HB,Mezza Pensione,1,Standard Policy,,,,,297.0,0,0,297.0,74.25,2023-12-15 12:26:49,,180,0
B-67A1C1A83C07,2024,CANCELED,IND,2024-06-08,2024-06-15,2024-06,7,2,0,1,3,C-31ACB07D9F76,IT,,,IT,bd,Booking Engine,direct,Conferma da Operatore,2761,Camera  Standard,HB,Mezza Pensione,1,Standard Policy,,,,,1090.0,0,0,1090.0,155.71,2023-12-20 16:31:17,2024-02-21 11:50:09,171,1
B-A4921115ECDD,2024,CANCELED,IND,2024-06-12,2024-06-19,2024-06,7,2,0,0,2,C-53A300FEEF0C,IT,,,IT,Booking.com,Booking.com,,OTA,2761,Camera  Standard,BB,Bed & Breakfast,1,Standard Policy,,,,,821.76,0,0,821.76,117.39,2023-12-23 01:31:28,2024-01-31 18:07:12,172,1
B-D3CF71ABB3E4,2024,CONFIRMED,IND,2024-09-01,2024-09-08,2024-09,7,2,0,0,2,C-9A991370489E,IT,PZ,BASILICATA,IT,bd,Booking Engine,direct,Conferma da Operatore,2761,Camera  Standard,FB,Pensione Completa,1,Standard Policy,,,,,1400.0,0,0,1400.0,200.0,2023-12-23 11:39:48,,253,0
B-88CCBEA5E792,2024,CANCELED,IND,2024-08-04,2024-08-11,2024-08,7,4,1,1,6,C-55E809A5F8C0,IT,,,IT,bd,Booking Engine,direct,Conferma da Operatore,2764,Appartamento Area Giardino,FB,Pensione Completa,1,Standard Policy,,,,,3590.0,0,0,3590.0,512.86,2023-12-29 11:35:11,2024-01-05 16:06:39,219,1
B-A9EDEBC9C902,2024,CANCELED,IND,2024-06-08,2024-06-15,2024-06,7,2,2,0,4,C-D4FAD987F90C,IT,,,IT,bd,Booking Engine,,Preventivo da Minisito,2763,Camera Deluxe,HB,Mezza Pensione,1,Standard Policy,,,,,1290.0,0,0,1290.0,184.29,2023-12-31 19:09:17,2024-03-25 11:25:04,160,1
B-1AE1FDCFABD6,2024,CONFIRMED,IND,2024-06-22,2024-06-29,2024-06,7,2,1,0,3,C-ECF83A3F5519,IT,VI,VENETO,IT,bd,Booking Engine,direct,Preventivo da Minisito,2765,Appartamento Area Piscina,HB,Mezza Pensione,1,Standard Policy,,,,,1590.0,75.0,0,1665.0,227.14,2024-01-02 15:01:44,,172,0
B-9534314F8AC4,2024,CONFIRMED,IND,2024-07-21,2024-07-28,2024-07,7,2,2,0,4,C-7B2C20CA7B3C,IT,BT,PUGLIA,IT,bd,Booking Engine,direct,Conferma da Operatore,2764,Appartamento Area Giardino,FB,Pensione Completa,1,Standard Policy,,,,,2290.0,12.0,0,2302.0,327.14,2024-01-02 20:08:54,,201,0
B-476E1A528570,2024,CONFIRMED,IND,2024-06-17,2024-06-27,2024-06,10,2,1,0,3,C-A6AEF1D3A1FA,IT,CR,LOMBARDIA,IT,bd,Booking Engine,direct,Conferma da Operatore,3231,Suite Familiare,HB,Mezza Pensione,1,Standard Policy,,,,,2340.0,178.5,0,2518.5,234.0,2024-01-04 11:39:37,,165,0
B-74FB11368EDF,2024,CONFIRMED,IND,2024-06-17,2024-06-27,2024-06,10,2,1,0,3,C-A97AEB542671,IT,CR,LOMBARDIA,IT,crm,Diretto (CRM),crmdirect,Conferma da Operatore,2767,Suite Familiare Vista Piscina,HB,Mezza Pensione,1,Standard Policy,,,,,2340.0,134.5,0,2474.5,234.0,2024-01-04 12:19:37,,165,0
B-A3CFBD3E02F6,2024,CONFIRMED,IND,2024-07-21,2024-07-27,2024-07,6,2,0,0,2,C-3DEF737310E2,IT,VT,LAZIO,IT,bd,Booking Engine,direct,Conferma da Operatore,5375,Villino 2Ten,HB,Mezza Pensione,1,Standard Policy,,,,,1473.0,17.0,0,1490.0,245.5,2024-01-05 15:54:46,,198,0
B-65B5F3962921,2024,CONFIRMED,IND,2024-06-23,2024-07-07,2024-06,14,2,2,0,4,C-C378F2DD6654,IT,MO,EMILIA-ROMAGNA,IT,crm,Diretto (CRM),crmdirect,Conferma da Operatore,2764,Appartamento Area Giardino,FB,Pensione Completa,1,Standard Policy,,,,,3814.5,75.5,0,3890.0,272.46,2024-01-06 11:04:44,,169,0
B-BEDE08C13F2B,2024,CONFIRMED,IND,2024-07-14,2024-07-21,2024-07,7,3,1,0,4,C-9DC348BA9315,IT,,,IT,bd,Booking Engine,direct,Conferma da Operatore,2764,Appartamento Area Giardino,FB,Pensione Completa,1,Standard Policy,,,,,1990.0,280.0,0,2270.0,284.29,2024-01-08 18:36:36,,188,0
B-B0DDD61C175B,2024,CONFIRMED,IND,2024-06-18,2024-06-23,2024-06,5,2,2,0,4,C-7C072C409234,IT,RO,VENETO,IT,crm,Diretto (CRM),DigitalDept_PRENOTAPRIMA,Conferma da Operatore,2763,Camera Deluxe,HB,Mezza Pensione,1,Standard Policy,,,,,1250.0,60.0,0,1310.0,250.0,2024-01-10 16:35:44,,160,0
B-81D856BA3DFC,2024,CONFIRMED,IND,2024-07-07,2024-07-14,2024-07,7,2,2,0,4,C-6A39951BB56B,IT,RM,LAZIO,IT,crm,Diretto (CRM),direct,Conferma da Operatore,2763,Camera Deluxe,HB,Mezza Pensione,1,Standard Policy,,,,,1990.0,20.0,0,2010.0,284.29,2024-01-10 19:05:50,,179,0
B-5313FD6AE722,2024,CONFIRMED,IND,2024-06-23,2024-06-30,2024-06,7,3,0,1,4,C-B811E4AE9C65,IT,KR,CALABRIA,IT,crm,Diretto (CRM),crmdirect,Conferma da Operatore,5376,Villino Double,FB,Pensione Completa,1,Standard Policy,,,,,1783.5,306.5,0,2090.0,254.79,2024-01-10 20:41:22,,165,0
B-1DD98E090C36,2024,CONFIRMED,IND,2024-06-15,2024-06-22,2024-06,7,2,2,0,4,C-99FED6A1B9C2,IT,AN,MARCHE,IT,bd,Booking Engine,direct,Conferma da Operatore,2763,Camera Deluxe,FB,Pensione Completa,1,Standard Policy,,,,,1571.0,19.0,0,1590.0,224.43,2024-01-11 14:40:32,,156,0
B-29386B2D755A,2024,CONFIRMED,IND,2024-06-15,2024-06-22,2024-06,7,2,2,0,4,C-99FED6A1B9C2,IT,AN,MARCHE,IT,bd,Booking Engine,direct,Conferma da Operatore,2763,Camera Deluxe,FB,Pensione Completa,1,Standard Policy,,,,,1581.0,47.0,0,1628.0,225.86,2024-01-11 14:43:34,,156,0
B-63DA9D1B9537,2024,CONFIRMED,IND,2024-06-15,2024-06-22,2024-06,7,2,2,0,4,C-5EF7C8F98E75,IT,AN,MARCHE,IT,crm,Diretto (CRM),direct,Conferma da Operatore,2763,Camera Deluxe,FB,Pensione Completa,1,Standard Policy,,,,,1539.0,51.0,0,1590.0,219.86,2024-01-11 14:49:35,,156,0
B-CB56674F4581,2024,CONFIRMED,IND,2024-08-24,2024-08-31,2024-08,7,2,2,0,4,C-BDCDC10B61AF,IT,BA,PUGLIA,IT,bd,Booking Engine,direct,Conferma da Operatore,2764,Appartamento Area Giardino,FB,Pensione Completa,1,Standard Policy,,,,,2450.0,60.5,0,2510.5,350.0,2024-01-12 09:10:05,,225,0
B-63753F30C0D1,2024,CONFIRMED,IND,2024-06-15,2024-06-22,2024-06,7,2,3,0,5,C-2D63A54C265F,IT,AN,MARCHE,IT,crm,Diretto (CRM),crmdirect,Conferma da Operatore,2765,Appartamento Area Piscina,FB,Pensione Completa,1,Standard Policy,,,,,1690.0,41.5,0,1731.5,241.43,2024-01-12 16:42:37,,155,0
B-E19CBEB0C5C1,2024,CONFIRMED,IND,2024-06-02,2024-06-08,2024-06,6,2,2,0,4,C-4A080123A60B,IT,,,IT,bd,Booking Engine,direct,Conferma da Operatore,2764,Appartamento Area Giardino,FB,Pensione Completa,1,Standard Policy,,,,,1254.6,195.4,0,1450.0,209.1,2024-01-12 18:31:53,,142,0
B-9357B17D470B,2024,CONFIRMED,IND,2024-06-08,2024-06-15,2024-06,7,2,1,0,3,C-BB3969FD63E0,IT,BR,PUGLIA,IT,bd,Booking Engine,direct,Conferma da Operatore,5375,Villino 2Ten,FB,Pensione Completa,1,Standard Policy,,,,,1090.0,17.0,0,1107.0,155.71,2024-01-12 19:38:03,,148,0
B-E3D542D633FE,2024,CONFIRMED,IND,2024-06-23,2024-06-30,2024-06,7,1,2,0,3,C-DE19D6E89F34,IT,BR,PUGLIA,IT,bd,Booking Engine,direct,Conferma da Operatore,2764,Appartamento Area Giardino,HB,Mezza Pensione,1,Standard Policy,,,,,1538.0,52.0,0,1590.0,219.71,2024-01-15 14:15:01,,160,0
B-32A3E37A425E,2024,CONFIRMED,IND,2024-06-23,2024-06-30,2024-06,7,2,0,0,2,C-DE5C2BA5A556,IT,BA,PUGLIA,IT,bd,Booking Engine,direct,Conferma da Operatore,2761,Camera  Standard,FB,Pensione Completa,1,Standard Policy,,,,,1190.0,0,0,1190.0,170.0,2024-01-15 16:57:15,,160,0
B-6F9EE62D1167,2024,CONFIRMED,IND,2024-07-14,2024-07-21,2024-07,7,2,2,0,4,C-0BB8D59B55BA,IT,,,IT,bd,Booking Engine,direct,Conferma da Operatore,2765,Appartamento Area Piscina,FB,Pensione Completa,1,Standard Policy,,,,,1862.5,37.5,0,1900.0,266.07,2024-01-18 15:54:04,,178,0
B-5FD503F85F4F,2024,CANCELED,IND,2024-08-03,2024-08-10,2024-08,7,2,0,0,2,C-282C95B9B1A0,IT,,,IT,book.lacasarana.it,Booking Engine - book.lacasarana.it,,Booking Engine,2761,Camera  Standard,FB,Pensione Completa,1,Standard Policy,,,,,3080.0,0,0,3080.0,440.0,2024-01-19 22:19:43,2024-01-20 17:09:05,197,1
B-C095D79DC82D,2024,CONFIRMED,IND,2024-07-08,2024-07-19,2024-07,11,2,2,0,4,C-FEB566D48A2B,IT,MI,LOMBARDIA,IT,crm,Diretto (CRM),crmdirect,Conferma da Operatore,2764,Appartamento Area Giardino,FB,Pensione Completa,1,Standard Policy,,,,,3090.0,0,0,3090.0,280.91,2024-01-20 15:15:33,,170,0
B-651A7603E40A,2024,CANCELED,IND,2024-05-31,2024-06-07,2024-05,7,2,1,0,3,C-36BC544861B1,GB,,,EN,Booking.com,Booking.com,,OTA,2764,Appartamento Area Giardino,BB,Bed & Breakfast,1,Standard Policy,,,,,1045.52,0,0,1045.52,149.36,2024-01-20 17:22:12,2024-01-20 17:34:57,132,1
B-EFEFB68F4BED,2024,CANCELED,IND,2024-06-13,2024-06-20,2024-06,7,2,1,1,4,C-F960A429B54B,IT,,,IT,bd,Booking Engine,direct,Conferma da Operatore,2762,Camera Superior,HB,Mezza Pensione,1,Standard Policy,,,,,0,0,0,0,0.0,2024-01-20 20:15:28,2024-04-03 10:18:58,145,1
B-30393614B917,2024,CONFIRMED,IND,2024-06-14,2024-06-23,2024-06,9,2,3,0,5,C-8029763FB349,IT,VI,VENETO,IT,bd,Booking Engine,direct,Preventivo da Minisito,2764,Appartamento Area Giardino,HB,Mezza Pensione,1,Standard Policy,,,,,1863.0,132.0,0,1995.0,207.0,2024-01-23 22:03:22,,143,0
B-1933D44434BD,2024,CONFIRMED,IND,2024-07-14,2024-07-21,2024-07,7,2,2,0,4,C-6258BED0C615,IT,PD,VENETO,IT,bd,Booking Engine,DigitalDept Luglio,Conferma da Operatore,2764,Appartamento Area Giardino,FB,Pensione Completa,1,Standard Policy,,,,,1990.0,7.0,0,1997.0,284.29,2024-01-24 18:33:33,,172,0
B-693283BA504F,2024,CONFIRMED,IND,2024-07-07,2024-07-14,2024-07,7,2,2,0,4,C-FFA96C57DC48,IT,BN,CAMPANIA,IT,bd,Booking Engine,direct,Preventivo da Minisito,2762,Camera Superior,FB,Pensione Completa,1,Standard Policy,,,,,1690.0,85.5,0,1775.5,241.43,2024-01-25 12:26:50,,164,0
B-4844679FEE1B,2024,CONFIRMED,IND,2024-07-08,2024-07-18,2024-07,10,2,2,1,5,C-380EB9CA150D,IT,VR,VENETO,IT,bd,Booking Engine,direct,Conferma da Operatore,2765,Appartamento Area Piscina,HB,Mezza Pensione,1,Standard Policy,,,,,2690.0,138.5,0,2828.5,269.0,2024-01-25 12:39:31,,165,0
B-DC41A8B2EFE0,2024,CONFIRMED,IND,2024-06-14,2024-06-22,2024-06,8,2,2,0,4,C-9CFA322D310D,IT,TN,TRENTINO-ALTO ADIGE,IT,crm,Diretto (CRM),crmdirect,Conferma da Operatore,2763,Camera Deluxe,FB,Pensione Completa,1,Standard Policy,,,,,1771.5,68.5,0,1840.0,221.44,2024-01-26 08:57:28,,140,0
B-D04A4F53CFA1,2024,CONFIRMED,IND,2024-07-22,2024-08-01,2024-07,10,2,2,0,4,C-5EF7C8F98E75,CH,,,IT,crm,Diretto (CRM),direct,Conferma da Operatore,2763,Camera Deluxe,HB,Mezza Pensione,1,Standard Policy,,,,,3490.0,32.5,0,3522.5,349.0,2024-01-27 13:42:31,,177,0
B-80BAF2C27389,2024,CONFIRMED,IND,2024-06-30,2024-07-07,2024-06,7,2,1,0,3,C-618ECCE9704C,IT,BA,PUGLIA,IT,bd,Booking Engine,,Preventivo da Minisito,2762,Camera Superior,HB,Mezza Pensione,1,Standard Policy,,,,,1590.0,10.0,0,1600.0,227.14,2024-01-27 18:55:26,,155,0
B-1D37CF870DD2,2024,CONFIRMED,IND,2024-06-01,2024-06-08,2024-06,7,2,2,0,4,C-BC54F65C7421,IT,PG,UMBRIA,IT,crm,Diretto (CRM),crmdirect,Conferma da Operatore,2764,Appartamento Area Giardino,FB,Pensione Completa,1,Standard Policy,,,,,1039.8,200.2,0,1240.0,148.54,2024-01-29 10:49:24,,124,0
B-9B6ECEA6A8C1,2024,CONFIRMED,IND,2024-05-31,2024-06-02,2024-05,2,2,0,0,2,C-6B45E9B7FC33,IT,TA,PUGLIA,IT,bd,Booking Engine,direct,Conferma da Operatore,2761,Camera  Standard,BB,Bed & Breakfast,1,Standard Policy,,,,,420.0,9.5,0,429.5,210.0,2024-01-29 11:37:16,,123,0
B-D7DCF1B7FE27,2024,CONFIRMED,IND,2024-06-16,2024-06-23,2024-06,7,2,2,0,4,C-08C634C7A23F,IT,RM,LAZIO,IT,bd,Booking Engine,direct,Preventivo da Minisito,2764,Appartamento Area Giardino,HB,Mezza Pensione,1,Standard Policy,,,,,1472.5,17.5,0,1490.0,210.36,2024-01-29 14:35:45,,139,0
B-40CA213F5FD8,2024,CONFIRMED,IND,2024-09-07,2024-09-14,2024-09,7,2,0,0,2,C-E064F981DA7B,IT,,,IT,book.lacasarana.it,Booking Engine - book.lacasarana.it,,Booking Engine,2761,Camera  Standard,HB,Mezza Pensione,1,Standard Policy,,,,,1190.0,0,0,1190.0,170.0,2024-01-29 22:37:36,,222,0
B-400931EF4D0F,2024,CONFIRMED,IND,2024-06-30,2024-07-07,2024-06,7,2,1,0,3,C-711FB4B69F37,IT,NA,CAMPANIA,IT,crm,Diretto (CRM),crmdirect,Conferma da Operatore,2761,Camera  Standard,FB,Pensione Completa,1,Standard Policy,,,,,1549.0,41.0,0,1590.0,221.29,2024-01-31 09:30:04,,151,0
B-758B067D7F89,2024,CONFIRMED,IND,2024-06-11,2024-06-23,2024-06,12,3,2,0,5,C-53A300FEEF0C,IT,RM,LAZIO,IT,bd,Booking Engine,,Preventivo da Minisito,2764,Appartamento Area Giardino,HB,Mezza Pensione,1,Standard Policy,,,,,2135.5,244.5,0,2380.0,177.96,2024-01-31 17:56:14,,132,0
B-0FABA4537770,2024,CONFIRMED,IND,2024-06-22,2024-06-29,2024-06,7,2,1,0,3,C-53507B6D08ED,IT,,,IT,bd,Booking Engine,direct,Preventivo da Minisito,2763,Camera Deluxe,FB,Pensione Completa,1,Standard Policy,,,,,1589.5,100.5,0,1690.0,227.07,2024-01-31 18:08:19,,143,0
B-5FB429BC45D1,2024,CONFIRMED,IND,2024-07-06,2024-07-13,2024-07,7,2,2,0,4,C-60C1175AD256,IT,VT,LAZIO,IT,bd,Booking Engine,direct,Conferma da Operatore,2763,Camera Deluxe,FB,Pensione Completa,1,Standard Policy,,,,,1990.0,123.0,0,2113.0,284.29,2024-02-01 18:31:04,,156,0
B-F2323573B7DE,2024,CANCELED,IND,2024-06-22,2024-06-29,2024-06,7,2,2,0,4,C-9F65C675C669,IT,,,IT,bd,Booking Engine,direct,Conferma da Operatore,2764,Appartamento Area Giardino,HB,Mezza Pensione,1,Standard Policy,,,,,1590.0,0,0,1590.0,227.14,2024-02-01 19:59:22,2024-06-07 20:00:43,142,1
B-16976B007842,2024,CONFIRMED,IND,2024-07-27,2024-08-03,2024-07,7,2,1,0,3,C-C12E4E31E6BD,IT,MB,LOMBARDIA,IT,crm,Diretto (CRM),crmdirect,Conferma da Operatore,2761,Camera  Standard,HB,Mezza Pensione,1,Standard Policy,,,,,1790.0,32.5,0,1822.5,255.71,2024-02-02 12:11:47,,176,0
B-C46C2DCE910A,2024,CANCELED,IND,2024-06-15,2024-06-29,2024-06,14,2,0,0,2,C-BA7B5B007EF7,IT,,,IT,bd,Booking Engine,direct,Conferma da Operatore,2761,Camera  Standard,HB,Mezza Pensione,1,Standard Policy,,,,,1090.0,0,0,1090.0,77.86,2024-02-02 14:38:40,2024-02-03 15:32:56,134,1
B-176ADB103EBB,2024,CONFIRMED,IND,2024-08-17,2024-08-24,2024-08,7,2,2,0,4,C-0DB5EB89DB6F,IT,RM,LAZIO,IT,crm,Diretto (CRM),crmdirect,Conferma da Operatore,2764,Appartamento Area Giardino,HB,Mezza Pensione,1,Standard Policy,,,,,3387.0,117.5,0,3504.5,483.86,2024-02-02 16:57:11,,197,0
B-0818CF95379A,2024,CONFIRMED,IND,2024-06-23,2024-06-30,2024-06,7,2,1,0,3,C-22465B87DD04,IT,RO,VENETO,IT,bd,Booking Engine,direct,Preventivo da Minisito,2765,Appartamento Area Piscina,FB,Pensione Completa,1,Standard Policy,,,,,1252.0,38.0,0,1290.0,178.86,2024-02-03 15:28:24,,141,0
B-00262C36CE11,2024,CONFIRMED,IND,2024-06-23,2024-06-30,2024-06,7,2,1,0,3,C-36D3287A02E4,IT,NA,CAMPANIA,IT,crm,Diretto (CRM),crmdirect,Conferma da Operatore,2764,Appartamento Area Giardino,FB,Pensione Completa,1,Standard Policy,,,,,1167.0,23.0,0,1190.0,166.71,2024-02-03 17:30:57,,141,0
