booking_code,customer_code,guest_seq,guest_code,age_at_checkin,sex
B-A4921115ECDD,C-53A300FEEF0C,1,GU-3B1B37A0724F,,
B-A4921115ECDD,C-53A300FEEF0C,2,GU-6451F2D5CFA7,,
B-D3CF71ABB3E4,C-9A991370489E,1,GU-4C98D3126ACF,27,M
B-D3CF71ABB3E4,C-9A991370489E,2,GU-F265A929332F,25,F
B-88CCBEA5E792,C-55E809A5F8C0,1,GU-1ECFA80EFB8A,,
B-88CCBEA5E792,C-55E809A5F8C0,2,GU-81D81DB081C1,,
B-88CCBEA5E792,C-55E809A5F8C0,3,GU-6DAADA4D6F44,,
B-88CCBEA5E792,C-55E809A5F8C0,4,GU-8E689B1EE1B5,,
B-88CCBEA5E792,C-55E809A5F8C0,5,GU-F28CE70A9457,,
B-88CCBEA5E792,C-55E809A5F8C0,6,GU-A000FF3D4699,,
B-A9EDEBC9C902,C-D4FAD987F90C,1,GU-2A5735800F57,41,
B-A9EDEBC9C902,C-D4FAD987F90C,2,GU-2953EFFB9F76,8,
B-A9EDEBC9C902,C-D4FAD987F90C,3,GU-E43425C11C27,6,
B-A9EDEBC9C902,C-D4FAD987F90C,4,GU-15F08502BAA8,41,
B-1AE1FDCFABD6,C-ECF83A3F5519,1,GU-A649097B8C65,52,F
B-1AE1FDCFABD6,C-ECF83A3F5519,2,GU-D9B6A88950FF,57,M
B-1AE1FDCFABD6,C-ECF83A3F5519,3,GU-D9B6B0F92BE3,16,M
B-9534314F8AC4,C-7B2C20CA7B3C,1,GU-42210C9ECEA7,40,F
B-9534314F8AC4,C-7B2C20CA7B3C,2,GU-9E835D451FE7,50,M
B-9534314F8AC4,C-7B2C20CA7B3C,3,GU-27DC5B116110,13,F
B-9534314F8AC4,C-7B2C20CA7B3C,4,GU-C64F8C808267,10,M
B-476E1A528570,C-A6AEF1D3A1FA,1,GU-C5371627C2D7,44,M
B-476E1A528570,C-A6AEF1D3A1FA,2,GU-7808E9C0E1B5,45,F
B-476E1A528570,C-A6AEF1D3A1FA,3,GU-A48327BF2245,9,M
B-74FB11368EDF,C-A97AEB542671,1,GU-DDA66F955063,61,M
B-74FB11368EDF,C-A97AEB542671,2,GU-56E355E74CB6,49,F
B-74FB11368EDF,C-A97AEB542671,3,GU-204B1EF08321,8,M
B-A3CFBD3E02F6,C-3DEF737310E2,1,GU-86F19B3AADF7,41,F
B-A3CFBD3E02F6,C-3DEF737310E2,2,GU-69426C5C3050,50,M
B-65B5F3962921,C-C378F2DD6654,1,GU-CAF4FD8D2B7C,47,M
B-65B5F3962921,C-C378F2DD6654,2,GU-3313FBF0F6E5,48,F
B-65B5F3962921,C-C378F2DD6654,3,GU-6688A1E54011,16,M
B-65B5F3962921,C-C378F2DD6654,4,GU-F42208F4177F,16,M
B-BEDE08C13F2B,C-9DC348BA9315,1,GU-82F872059CBC,,
B-BEDE08C13F2B,C-9DC348BA9315,2,GU-6D0324F0E4D7,,
B-BEDE08C13F2B,C-9DC348BA9315,3,GU-A2C387396DF8,,
B-BEDE08C13F2B,C-9DC348BA9315,4,GU-0EE07EC76885,,
B-B0DDD61C175B,C-7C072C409234,1,GU-F8FE9F076588,41,M
B-B0DDD61C175B,C-7C072C409234,2,GU-8E55C4BF4626,43,F
B-B0DDD61C175B,C-7C072C409234,3,GU-6767C69E8FF7,12,M
B-B0DDD61C175B,C-7C072C409234,4,GU-21A15F2F92DC,9,M
B-81D856BA3DFC,C-6A39951BB56B,1,GU-30E0D35A4CEF,42,F
B-81D856BA3DFC,C-6A39951BB56B,2,GU-3923F22CCA4E,48,M
B-81D856BA3DFC,C-6A39951BB56B,3,GU-CFDF944BADE4,9,M
B-81D856BA3DFC,C-6A39951BB56B,4,GU-00FEC8B48E6A,5,M
B-5313FD6AE722,C-B811E4AE9C65,1,GU-28777F8986EE,41,M
B-5313FD6AE722,C-B811E4AE9C65,2,GU-903B71FE7702,39,M
B-5313FD6AE722,C-B811E4AE9C65,3,GU-DD8DB52DC599,48,M
B-5313FD6AE722,C-B811E4AE9C65,4,GU-904FCB58D52E,1,M
B-1DD98E090C36,C-99FED6A1B9C2,1,GU-DD3CFEDEBF01,42,M
B-1DD98E090C36,C-99FED6A1B9C2,2,GU-5B3E8DFBE75B,40,F
B-1DD98E090C36,C-99FED6A1B9C2,3,GU-087DC1DD60D4,10,F
B-1DD98E090C36,C-99FED6A1B9C2,4,GU-FBA09F6FB157,7,M
B-29386B2D755A,C-99FED6A1B9C2,1,GU-B09D30A3C235,43,M
B-29386B2D755A,C-99FED6A1B9C2,2,GU-6DAC80E22E80,39,F
B-29386B2D755A,C-99FED6A1B9C2,3,GU-B514006463A3,9,F
B-29386B2D755A,C-99FED6A1B9C2,4,GU-48419BA66CFA,6,M
B-63DA9D1B9537,C-5EF7C8F98E75,1,GU-10AE9409D3EA,38,F
B-63DA9D1B9537,C-5EF7C8F98E75,2,GU-D4538160D185,42,M
B-63DA9D1B9537,C-5EF7C8F98E75,3,GU-19C458237443,5,F
B-63DA9D1B9537,C-5EF7C8F98E75,4,GU-AD8E1EF0DD04,9,F
B-CB56674F4581,C-BDCDC10B61AF,1,GU-F529093AB6DE,44,F
B-CB56674F4581,C-BDCDC10B61AF,2,GU-3B1E9F334C96,47,M
B-CB56674F4581,C-BDCDC10B61AF,3,GU-02E03081BE34,6,F
B-CB56674F4581,C-BDCDC10B61AF,4,GU-5FD4754B18F4,9,M
B-63753F30C0D1,C-2D63A54C265F,1,GU-4C733AF781EC,42,M
B-63753F30C0D1,C-2D63A54C265F,2,GU-8C3047C3DBF4,40,F
B-63753F30C0D1,C-2D63A54C265F,3,GU-C3B4B2622B2E,7,M
B-63753F30C0D1,C-2D63A54C265F,4,GU-13F4273721CD,5,F
B-63753F30C0D1,C-2D63A54C265F,5,GU-47BEB272839B,3,M
B-E19CBEB0C5C1,C-4A080123A60B,1,GU-1CF5943CAECA,,
B-E19CBEB0C5C1,C-4A080123A60B,2,GU-AD2EB5193668,,
B-E19CBEB0C5C1,C-4A080123A60B,3,GU-A0DF1275AF4A,,
B-E19CBEB0C5C1,C-4A080123A60B,4,GU-A0B95E668B20,,
B-9357B17D470B,C-BB3969FD63E0,1,GU-13EB61370461,38,M
B-9357B17D470B,C-BB3969FD63E0,2,GU-862A15D37C9C,34,M
B-9357B17D470B,C-BB3969FD63E0,3,GU-1BE4D7541541,4,M
B-E3D542D633FE,C-DE19D6E89F34,1,GU-6295E1556D72,48,F
B-E3D542D633FE,C-DE19D6E89F34,2,GU-E8C2D35E3D14,11,M
B-E3D542D633FE,C-DE19D6E89F34,3,GU-9E4FB26C972C,7,F
B-32A3E37A425E,C-DE5C2BA5A556,1,GU-9558F050AB96,64,M
B-32A3E37A425E,C-DE5C2BA5A556,2,GU-EB40A1BB724F,64,F
B-6F9EE62D1167,C-0BB8D59B55BA,1,GU-4BAD441B84A5,,
B-6F9EE62D1167,C-0BB8D59B55BA,2,GU-16B653DE9DD1,,
B-6F9EE62D1167,C-0BB8D59B55BA,3,GU-B4EC7770174A,,
B-6F9EE62D1167,C-0BB8D59B55BA,4,GU-D303BA701BA5,,
B-5FD503F85F4F,C-282C95B9B1A0,1,GU-617EF6FD51F1,,
B-5FD503F85F4F,C-282C95B9B1A0,2,GU-DEB3ECB8260B,,
B-C095D79DC82D,C-FEB566D48A2B,1,GU-4491233E5D77,43,M
B-C095D79DC82D,C-FEB566D48A2B,2,GU-08B4B5EC0F43,42,F
B-C095D79DC82D,C-FEB566D48A2B,3,GU-19AD8C7D31B7,10,F
B-C095D79DC82D,C-FEB566D48A2B,4,GU-2D82E84B80A6,9,F
B-651A7603E40A,C-36BC544861B1,1,GU-1D4A53686C51,,
B-651A7603E40A,C-36BC544861B1,2,GU-C4BD537BD54C,,
B-651A7603E40A,C-36BC544861B1,3,GU-6996237F6705,,
B-EFEFB68F4BED,C-F960A429B54B,1,GU-D7660C54E72A,,
B-EFEFB68F4BED,C-F960A429B54B,2,GU-74850920CE61,,
B-EFEFB68F4BED,C-F960A429B54B,3,GU-06348009BC96,,
B-EFEFB68F4BED,C-F960A429B54B,4,GU-A92E5142E664,,
B-30393614B917,C-8029763FB349,1,GU-2952D9E17CAD,50,M
B-30393614B917,C-8029763FB349,2,GU-40D9F02B044B,46,F
B-30393614B917,C-8029763FB349,3,GU-9EA16671188C,14,F
B-30393614B917,C-8029763FB349,4,GU-603CA128DD6E,10,M
B-30393614B917,C-8029763FB349,5,GU-8028585EC3DA,7,F
B-1933D44434BD,C-6258BED0C615,1,GU-CBBC920698BC,44,M
B-1933D44434BD,C-6258BED0C615,2,GU-6E4C947C0B8D,38,F
B-1933D44434BD,C-6258BED0C615,3,GU-760F86621CE3,10,M
B-1933D44434BD,C-6258BED0C615,4,GU-8924782AC0F6,5,F
B-693283BA504F,C-FFA96C57DC48,1,GU-A7D22DCE900E,43,F
B-693283BA504F,C-FFA96C57DC48,2,GU-60DD14A08D7B,42,M
B-693283BA504F,C-FFA96C57DC48,3,GU-EE6937D0F697,7,F
B-693283BA504F,C-FFA96C57DC48,4,GU-D3885F7E1320,3,M
B-4844679FEE1B,C-380EB9CA150D,1,GU-AE49379BF898,43,M
B-4844679FEE1B,C-380EB9CA150D,2,GU-020EADBD600E,41,F
B-4844679FEE1B,C-380EB9CA150D,3,GU-E33ED17656AC,8,M
B-4844679FEE1B,C-380EB9CA150D,4,GU-2217821C19AF,4,F
B-4844679FEE1B,C-380EB9CA150D,5,GU-788B034B73D7,1,F
B-DC41A8B2EFE0,C-9CFA322D310D,1,GU-53E9687571FC,36,F
B-DC41A8B2EFE0,C-9CFA322D310D,2,GU-A3DE838E47AC,40,M
B-DC41A8B2EFE0,C-9CFA322D310D,3,GU-113B9EB9B8E1,12,F
B-DC41A8B2EFE0,C-9CFA322D310D,4,GU-2F5BA080591D,8,F
B-D04A4F53CFA1,C-5EF7C8F98E75,1,GU-D080C1A1D88B,37,M
B-D04A4F53CFA1,C-5EF7C8F98E75,2,GU-A64A8D4E8569,38,F
B-D04A4F53CFA1,C-5EF7C8F98E75,3,GU-E133B8638073,4,M
B-D04A4F53CFA1,C-5EF7C8F98E75,4,GU-841FF53670E6,7,M
B-80BAF2C27389,C-618ECCE9704C,1,GU-434DDFE24312,44,F
B-80BAF2C27389,C-618ECCE9704C,2,GU-C7DBDDCF2A6B,46,M
B-80BAF2C27389,C-618ECCE9704C,3,GU-C76914A202AB,6,F
B-1D37CF870DD2,C-BC54F65C7421,1,GU-F70D7A5EF6CC,47,M
B-1D37CF870DD2,C-BC54F65C7421,2,GU-ACEF456C2C74,41,F
B-1D37CF870DD2,C-BC54F65C7421,3,GU-B17B401FB19E,9,M
B-1D37CF870DD2,C-BC54F65C7421,4,GU-0B2D70F6915F,5,F
B-9B6ECEA6A8C1,C-6B45E9B7FC33,1,GU-A7CF98983FB5,42,M
B-9B6ECEA6A8C1,C-6B45E9B7FC33,2,GU-3D13322C78DA,42,F
B-D7DCF1B7FE27,C-08C634C7A23F,1,GU-EAE01A5F1636,38,F
B-D7DCF1B7FE27,C-08C634C7A23F,2,GU-6AAFC76922DD,11,F
B-D7DCF1B7FE27,C-08C634C7A23F,3,GU-44B7CC7B9CD3,7,F
B-D7DCF1B7FE27,C-08C634C7A23F,4,GU-6571A2CC8C06,46,M
B-40CA213F5FD8,C-E064F981DA7B,1,GU-DDF61ACF35A4,68,M
B-40CA213F5FD8,C-E064F981DA7B,2,GU-B853C5666CD8,69,F
B-400931EF4D0F,C-711FB4B69F37,1,GU-7BDC155E28B3,35,M
B-400931EF4D0F,C-711FB4B69F37,2,GU-5A3EB1719760,3,F
B-400931EF4D0F,C-711FB4B69F37,3,GU-45F55E5CCB57,33,F
B-758B067D7F89,C-53A300FEEF0C,1,GU-0AE983FC2D0D,69,M
B-758B067D7F89,C-53A300FEEF0C,2,GU-A4A3F82C558E,66,F
B-758B067D7F89,C-53A300FEEF0C,3,GU-70AFD656A8F6,38,F
B-758B067D7F89,C-53A300FEEF0C,4,GU-96961261A963,6,M
B-758B067D7F89,C-53A300FEEF0C,5,GU-C1B2903E461F,3,F
B-0FABA4537770,C-53507B6D08ED,1,GU-55FCC3813916,44,F
B-0FABA4537770,C-53507B6D08ED,2,GU-58D622F17B70,50,M
B-0FABA4537770,C-53507B6D08ED,3,GU-D6F203DB1AE3,15,M
B-5FB429BC45D1,C-60C1175AD256,1,GU-DA748EA8736C,42,M
B-5FB429BC45D1,C-60C1175AD256,2,GU-7ED9F235A436,38,F
B-5FB429BC45D1,C-60C1175AD256,3,GU-FCEAD187F018,7,F
B-5FB429BC45D1,C-60C1175AD256,4,GU-5B5B98CE89EC,3,F
B-F2323573B7DE,C-9F65C675C669,1,GU-1E2AC58A525C,,
B-F2323573B7DE,C-9F65C675C669,2,GU-0881EA75661D,,
B-F2323573B7DE,C-9F65C675C669,3,GU-8CAAF9BFC5EC,,
B-F2323573B7DE,C-9F65C675C669,4,GU-475E96703869,,
B-16976B007842,C-C12E4E31E6BD,1,GU-BE4B913E26D9,39,M
B-16976B007842,C-C12E4E31E6BD,2,GU-A9C5DC60A7C2,34,F
B-16976B007842,C-C12E4E31E6BD,3,GU-D9256CE5A652,3,F
B-C46C2DCE910A,C-BA7B5B007EF7,1,GU-DDF612AB6163,,
B-C46C2DCE910A,C-BA7B5B007EF7,2,GU-37DC1CA40AD1,,
B-176ADB103EBB,C-0DB5EB89DB6F,1,GU-78F7B1059470,50,M
B-176ADB103EBB,C-0DB5EB89DB6F,2,GU-7958B4B03165,3,F
B-176ADB103EBB,C-0DB5EB89DB6F,3,GU-4DAFC0C8B1A4,12,M
B-176ADB103EBB,C-0DB5EB89DB6F,4,GU-B7CCCFA5DD38,47,F
B-0818CF95379A,C-22465B87DD04,1,GU-EB619426A1A5,43,M
B-0818CF95379A,C-22465B87DD04,2,GU-7FFE3FF25122,44,F
B-0818CF95379A,C-22465B87DD04,3,GU-FD92E32566EC,10,F
B-00262C36CE11,C-36D3287A02E4,1,GU-257F4A73F135,41,F
B-00262C36CE11,C-36D3287A02E4,2,GU-A7D56469A4E5,43,M
B-00262C36CE11,C-36D3287A02E4,3,GU-6A8A009FF303,6,M
B-9B66406A6D71,C-9A015ECE3DD9,1,GU-970767376DA5,,
B-9B66406A6D71,C-9A015ECE3DD9,2,GU-B61D557F0FC9,,
B-9B66406A6D71,C-9A015ECE3DD9,3,GU-678FFFB31D60,,
B-9B66406A6D71,C-9A015ECE3DD9,4,GU-95666158340B,,
B-5347B1FE06E0,C-1E2553E6AA01,1,GU-CF6B9A26B8FA,42,M
B-5347B1FE06E0,C-1E2553E6AA01,2,GU-1984084D2CB4,39,F
B-FFB12B49CC1E,C-E7B49890A152,1,GU-34DF62497CC7,46,F
B-FFB12B49CC1E,C-E7B49890A152,2,GU-EA9C6020E294,13,F
B-FFB12B49CC1E,C-E7B49890A152,3,GU-B3ABAB1EF5A2,44,M
B-FFB12B49CC1E,C-E7B49890A152,4,GU-456E72203243,16,F
B-FFB12B49CC1E,C-E7B49890A152,5,GU-902D72CEBE3D,6,M
B-359E3A3B7BC3,C-E7B49890A152,1,GU-F9F41099D44B,42,M
B-359E3A3B7BC3,C-E7B49890A152,2,GU-279A8FEE2EEF,44,F
B-359E3A3B7BC3,C-E7B49890A152,3,GU-4239E0586676,13,F
B-359E3A3B7BC3,C-E7B49890A152,4,GU-E00624D2EFEA,8,F
B-6436456A3B3F,C-E7B49890A152,1,GU-C144FD911BC1,43,M
B-6436456A3B3F,C-E7B49890A152,2,GU-20F63C5947C9,43,F
B-6436456A3B3F,C-E7B49890A152,3,GU-D8BF1DF8A132,16,M
B-6436456A3B3F,C-E7B49890A152,4,GU-F3B51846804E,13,M
B-9E66A227FFD6,C-B474CF16F95F,1,GU-92F93A7ABB72,52,M
B-9E66A227FFD6,C-B474CF16F95F,2,GU-DE994CD16E96,47,F
B-9E66A227FFD6,C-B474CF16F95F,3,GU-1DA15D5202C0,14,M
B-9E66A227FFD6,C-B474CF16F95F,4,GU-D1643E6593E5,9,F
B-EC4CBAEAFF8B,C-B474CF16F95F,1,GU-77DDC1DA2239,50,M
B-EC4CBAEAFF8B,C-B474CF16F95F,2,GU-55AFD3DE673C,48,F
B-EC4CBAEAFF8B,C-B474CF16F95F,3,GU-42092D0A6E8B,13,M
B-EC4CBAEAFF8B,C-B474CF16F95F,4,GU-CAD3E7E65969,12,F
B-4797291CF16F,C-B474CF16F95F,1,GU-06DC72013FE8,48,M
B-4797291CF16F,C-B474CF16F95F,2,GU-48C10E7A2AB4,46,F
B-4797291CF16F,C-B474CF16F95F,3,GU-7AF95182E8FC,13,M
B-4797291CF16F,C-B474CF16F95F,4,GU-571A6B2F87E8,9,F
B-5CB5976805D5,C-550875285790,1,GU-104601F87044,69,M
B-5CB5976805D5,C-550875285790,2,GU-EDB059FAF0C2,60,F
B-158E85D712DA,C-550875285790,1,GU-962A9D150C66,,
B-158E85D712DA,C-550875285790,2,GU-18FB509EF96D,,
B-41186C2AF0AE,C-BACE261217FE,1,GU-59F23756F7DF,41,F
B-41186C2AF0AE,C-BACE261217FE,2,GU-1DE9655B7A7A,44,M
B-41186C2AF0AE,C-BACE261217FE,3,GU-C7E780BDC5E1,14,F
B-41186C2AF0AE,C-BACE261217FE,4,GU-D3E5769BED07,10,M
B-10C304FA0436,C-534066549FBA,1,GU-F021FF18DD3F,42,M
B-10C304FA0436,C-534066549FBA,2,GU-3DAD9768C274,44,F
B-10C304FA0436,C-534066549FBA,3,GU-154B7EB9E03A,3,F
B-10C304FA0436,C-534066549FBA,4,GU-34BEDABAFB57,0,F
B-95B5DE5A24C7,C-CCD6163408DE,1,GU-BAB21ABE9538,38,M
B-95B5DE5A24C7,C-CCD6163408DE,2,GU-CAA887788CE7,37,F
B-95B5DE5A24C7,C-CCD6163408DE,3,GU-B762167B3C1B,6,M
B-A2E8850236DD,C-5841EE9BA506,1,GU-CC0A6FC7F55E,39,F
B-A2E8850236DD,C-5841EE9BA506,2,GU-5B94929FE122,40,M
B-A2E8850236DD,C-5841EE9BA506,3,GU-11310E643F8D,1,M
B-A2E8850236DD,C-5841EE9BA506,4,GU-9F1027060AFF,3,F
B-B423B0346862,C-8873A1DCBCA4,1,GU-901E582738C4,61,M
B-B423B0346862,C-8873A1DCBCA4,2,GU-96EC74B5C76F,48,F
B-B423B0346862,C-8873A1DCBCA4,3,GU-3FCDF936FDCC,11,M
B-B423B0346862,C-8873A1DCBCA4,4,GU-6123EB89B2E6,7,M
B-751028A33FEE,C-229183CAE16C,1,GU-E1F822C8A974,46,M
B-751028A33FEE,C-229183CAE16C,2,GU-21B726B6CF94,42,F
B-751028A33FEE,C-229183CAE16C,3,GU-25C929FEDD90,11,F
B-751028A33FEE,C-229183CAE16C,4,GU-6558C0E16D53,6,M
B-FF0D2A98A806,C-229183CAE16C,1,GU-C4E00F480110,48,F
B-FF0D2A98A806,C-229183CAE16C,2,GU-5B225C9E965C,5,M
B-9E80399DC8F3,C-229183CAE16C,1,GU-03BB9F70A194,50,F
B-9E80399DC8F3,C-229183CAE16C,2,GU-E8179ED0265F,54,M
B-9E80399DC8F3,C-229183CAE16C,3,GU-25D800F05C00,11,F
B-9E80399DC8F3,C-229183CAE16C,4,GU-5D1EF4083372,7,F
B-D0C59340B307,C-87453443F1A0,1,GU-A1501033CF28,,
B-D0C59340B307,C-87453443F1A0,2,GU-EE4A8445203D,,
B-921B4B6B6F4D,C-72C6408CF076,1,GU-EF23363E03B6,,
B-921B4B6B6F4D,C-72C6408CF076,2,GU-ACC6B28C22F1,,
B-3F4B86422E5D,C-C5F867C5B7DC,1,GU-910C4AA1D949,69,M
B-3F4B86422E5D,C-C5F867C5B7DC,2,GU-A5D3A1B39CF9,72,F
B-FE1D9DF68873,C-08C634C7A23F,1,GU-8230C004CFF4,71,M
B-FE1D9DF68873,C-08C634C7A23F,2,GU-1158BFEF1177,61,F
B-13CECAA94D5F,C-FEBF0B774755,1,GU-05E7AF8E03C0,45,F
B-13CECAA94D5F,C-FEBF0B774755,2,GU-DB037071DCD9,40,M
B-13CECAA94D5F,C-FEBF0B774755,3,GU-C0C5EDC107E3,72,F
