request_code,dataset_year,checkin_date,checkout_date,checkin_month,nights,adults_number,children_number,infants_number,customer_code,customer_country,customer_lang,channel_code,channel_name,arrangement_code,arrangement_name,creation_datetime,lead_time_days,quotation_count,has_quotation,quotation_min_amount,quotation_max_amount
R-A7BBFFB1CEC4,2024,2024-08-11,2024-08-18,2024-08,7,4,1,0,C-85C4FAD88E01,,IT,bd,Booking Engine,,,2023-11-17 16:58:24,268,2,1,2790.0,2890.0
R-AB819CD8215C,2024,2024-07-03,2024-07-10,2024-07,7,2,1,1,C-A0FBC147B3A3,,IT,bd,Booking Engine,,,2023-11-17 17:00:36,229,2,1,1590.0,1790.0
R-5E490D152EB7,2024,2024-08-10,2024-08-17,2024-08,7,2,1,0,C-1FABD9A18E57,,IT,bd,Booking Engine,,,2023-11-17 17:06:17,267,1,1,3090.0,3090.0
R-2012BF6DAFBA,2024,2024-08-11,2024-08-25,2024-08,14,2,2,0,C-78A3A532BB47,,IT,bd,Booking Engine,,,2023-11-17 17:07:13,268,1,1,6790.0,6790.0
R-55936FE90465,2024,2024-07-21,2024-07-28,2024-07,7,2,3,0,C-7889B4BF1C0F,,IT,bd,Booking Engine,,,2023-11-17 17:08:32,247,1,1,1947.0,1947.0
R-DA3B49CFB428,2024,2024-08-10,2024-08-17,2024-08,7,2,0,0,C-547695BEAD0D,IT,IT,bd,Booking Engine,,,2023-11-17 17:12:02,267,1,1,2790.0,2790.0
R-311109C6D16E,2024,2024-06-22,2024-06-29,2024-06,7,2,2,0,C-8AD2AF41BA73,,IT,bd,Booking Engine,,,2023-11-17 17:12:08,218,1,1,1790.0,1790.0
R-2BF7C18B261D,2024,2024-08-24,2024-08-31,2024-08,7,2,3,1,C-912EF4525CD5,,IT,bd,Booking Engine,,,2023-11-17 17:16:23,281,1,1,2490.0,2490.0
R-DA52A7FBB3BF,2024,2024-07-06,2024-07-13,2024-07,7,2,2,0,C-D4A6AFA099AD,,IT,bd,Booking Engine,,,2023-11-17 17:22:09,232,2,1,1690.0,1690.0
R-B80EE79E7E11,2024,2024-07-07,2024-08-04,2024-07,28,2,2,0,C-95F370CAD6E6,,IT,bd,Booking Engine,,,2023-11-17 17:25:19,233,2,1,1690.0,1890.0
R-74E5F9D1009C,2024,2024-06-22,2024-06-29,2024-06,7,2,0,0,C-40A0DBBB9E0F,,IT,bd,Booking Engine,,,2023-11-17 17:25:28,218,1,1,1190.0,1190.0
R-7F483AA1F8C3,2024,2024-07-27,2024-08-03,2024-07,7,2,2,0,C-3CEF8CE65CEA,,IT,bd,Booking Engine,,,2023-11-17 17:25:44,253,1,1,2390.0,2390.0
R-AB0C69B8061F,2024,2024-08-01,2024-08-08,2024-08,7,4,0,0,C-AD5FA0D958C2,IT,IT,bd,Booking Engine,,,2023-11-17 17:26:45,258,2,1,2990.0,3390.0
R-7125E3B18DF0,2024,2024-09-02,2024-09-08,2024-09,6,2,2,0,C-2E9A5F2D1657,IT,IT,bd,Booking Engine,,,2023-11-17 17:26:55,290,1,1,1690.0,1690.0
R-A87905ECD4FB,2024,2024-07-06,2024-07-13,2024-07,7,2,2,0,C-541E3CAF8318,,IT,bd,Booking Engine,,,2023-11-17 17:28:11,232,1,1,1990.0,1990.0
R-AA93668AE44F,2024,2024-07-20,2024-07-27,2024-07,7,3,0,0,C-0E34C5505DAE,,IT,bd,Booking Engine,,,2023-11-17 17:33:02,246,1,1,2290.0,2290.0
R-2701AFE28B8B,2024,2024-06-22,2024-06-29,2024-06,7,2,1,0,C-A2DCA431C8AB,,IT,bd,Booking Engine,,,2023-11-17 17:41:30,218,2,1,1590.0,1790.0
R-6017AA75361C,2024,2024-09-01,2024-09-08,2024-09,7,2,1,0,C-C0CF1F91242A,,IT,bd,Booking Engine,,,2023-11-17 17:55:29,289,1,1,1690.0,1690.0
R-C2C00EB79F0A,2024,2024-06-30,2024-07-15,2024-06,15,6,1,1,C-912AD862001F,,IT,bd,Booking Engine,,,2023-11-17 17:55:41,226,4,1,2490.0,3290.0
R-CF72A8136213,2024,2024-07-06,2024-07-20,2024-07,14,1,0,0,C-092F79D9747A,IT,IT,bd,Booking Engine,,,2023-11-17 18:04:12,232,1,1,2690.0,2690.0
R-668416A5D37C,2024,2024-07-27,2024-08-04,2024-07,8,2,1,0,C-812000DF1BD5,,IT,bd,Booking Engine,,,2023-11-17 18:12:02,253,1,1,2190.0,2190.0
R-53054AB0C48A,2024,2024-07-06,2024-07-13,2024-07,7,6,1,0,C-21B6CA1A274A,,IT,bd,Booking Engine,,,2023-11-17 18:16:42,232,2,1,1490.0,1890.0
R-56F9527183F3,2024,2024-08-17,2024-08-24,2024-08,7,3,2,0,C-65AABAAA9D25,,IT,bd,Booking Engine,,,2023-11-17 18:17:59,274,1,1,3590.0,3590.0
R-B061B9C61DCA,2024,2024-08-04,2024-08-11,2024-08,7,2,2,0,C-D7C9A84F81EA,IT,IT,bd,Booking Engine,,,2023-11-17 18:19:26,261,1,1,2990.0,2990.0
R-CB36C6D07A4C,2024,2024-08-10,2024-08-24,2024-08,14,2,1,1,C-FB2F2ED27A2C,,IT,bd,Booking Engine,,,2023-11-17 18:20:15,267,1,1,6890.0,6890.0
R-F8806A431DD3,2024,2024-08-10,2024-08-17,2024-08,7,2,1,0,C-DCEC534C2B5B,,IT,bd,Booking Engine,,,2023-11-17 18:22:01,267,1,1,3090.0,3090.0
R-AA0DF3AAE3F9,2024,2024-07-13,2024-07-20,2024-07,7,2,0,0,C-93E101D43F1D,,IT,bd,Booking Engine,,,2023-11-17 18:22:16,239,4,1,1790.0,3690.0
R-82C6D49C6E5B,2024,2024-07-21,2024-07-28,2024-07,7,3,0,0,C-1A99E2628734,,IT,bd,Booking Engine,,,2023-11-17 18:28:16,247,1,1,2290.0,2290.0
R-44A9680A42E6,2024,2024-07-20,2024-08-03,2024-07,14,2,2,0,C-FDCAB3157D78,,IT,bd,Booking Engine,,,2023-11-17 18:34:17,246,1,1,4690.0,4690.0
R-0560AC3759A2,2024,2024-09-01,2024-09-08,2024-09,7,2,0,0,C-420F0D23244D,,IT,bd,Booking Engine,,,2023-11-17 18:34:26,289,1,1,1290.0,1290.0
R-9133EEAD9BCD,2024,2024-08-10,2024-08-17,2024-08,7,2,1,0,C-1FABD9A18E57,,IT,bd,Booking Engine,,,2023-11-17 18:35:14,267,1,1,3090.0,3090.0
R-2D9E4C993343,2024,2024-08-18,2024-09-01,2024-08,14,3,0,0,C-3833BECE7114,IT,IT,bd,Booking Engine,,,2023-11-17 18:43:30,275,2,1,4910.0,5790.0
R-6D444E49AB23,2024,2024-08-24,2024-08-31,2024-08,7,4,0,0,C-C5BC9952D8EF,IT,IT,bd,Booking Engine,,,2023-11-17 18:45:58,281,1,1,1890.0,1890.0
R-96D97E0F35DF,2024,2024-06-16,2024-06-30,2024-06,14,2,0,0,C-D76E3278CC90,,IT,bd,Booking Engine,,,2023-11-17 18:57:02,212,1,1,2390.0,2390.0
R-F070F48262B2,2024,2024-08-04,2024-08-18,2024-08,14,2,0,0,C-52F42B322DA5,,IT,bd,Booking Engine,,,2023-11-17 19:06:24,261,1,1,5690.0,5690.0
R-C1BA268BA5F1,2024,2024-08-24,2024-08-31,2024-08,7,2,1,0,C-1231AAD5C938,,IT,bd,Booking Engine,,,2023-11-17 19:09:36,281,1,1,2290.0,2290.0
R-476A928874CE,2024,2024-07-20,2024-07-27,2024-07,7,2,1,0,C-974C16FBB0C9,,IT,bd,Booking Engine,,,2023-11-17 19:19:45,246,1,1,1990.0,1990.0
R-974D801A7195,2024,2024-08-03,2024-08-10,2024-08,7,2,2,0,C-13369292A156,,IT,bd,Booking Engine,,,2023-11-17 19:21:41,260,1,1,3290.0,3290.0
R-9082D2FB4384,2024,2024-08-10,2024-08-24,2024-08,14,2,2,0,C-7D4B3D02DD9D,IT,IT,bd,Booking Engine,,,2023-11-17 19:22:55,267,1,1,6390.0,6390.0
R-816526026676,2024,2024-08-17,2024-08-31,2024-08,14,2,0,0,C-FBD372A36245,,IT,bd,Booking Engine,,,2023-11-17 19:26:30,274,3,1,4690.0,5190.0
R-30F14E1A8917,2024,2024-07-14,2024-07-21,2024-07,7,2,2,0,C-0967CB071F4F,,IT,bd,Booking Engine,,,2023-11-17 19:32:28,240,1,1,2090.0,2090.0
R-8221F575BFA4,2024,2024-08-10,2024-08-24,2024-08,14,5,1,0,C-A916A30F1B29,IT,IT,bd,Booking Engine,,,2023-11-17 19:51:28,267,1,1,6590.0,6590.0
R-C7E263981B10,2024,2024-08-10,2024-08-17,2024-08,7,2,0,0,C-6C976235CCCD,,IT,bd,Booking Engine,,,2023-11-17 19:52:39,267,3,1,2990.0,3390.0
R-765FB55824B1,2024,2024-07-01,2024-07-10,2024-07,9,2,0,0,C-70E804413FD1,,IT,bd,Booking Engine,,,2023-11-17 19:54:22,227,1,1,1390.0,1390.0
R-BD876DBAEAE8,2024,2024-08-11,2024-08-18,2024-08,7,2,1,0,C-F7CAE9D8B9A3,,IT,bd,Booking Engine,,,2023-11-17 19:54:22,268,2,1,2890.0,3090.0
R-D25AD98AAE5C,2024,2024-08-17,2024-08-24,2024-08,7,2,2,0,C-C720E6A05D0D,,IT,bd,Booking Engine,,,2023-11-17 19:56:02,274,3,1,3190.0,3490.0
R-ED6430F59A07,2024,2024-07-06,2024-07-13,2024-07,7,2,0,0,C-C290AD781956,,IT,bd,Booking Engine,,,2023-11-17 19:57:26,232,1,1,1490.0,1490.0
R-B4CC612BB930,2024,2024-07-06,2024-07-20,2024-07,14,3,1,0,C-0A083D92047F,,IT,bd,Booking Engine,,,2023-11-17 19:58:32,232,1,1,3990.0,3990.0
R-D7B298812355,2024,2024-07-14,2024-07-28,2024-07,14,2,0,0,C-1765434D0720,IT,IT,bd,Booking Engine,FB,Pensione Completa,2023-11-17 20:15:10,240,1,1,3290.0,3290.0
R-FA0FEFB13967,2024,2024-06-30,2024-07-13,2024-06,13,2,1,0,C-7388310ECC41,,IT,bd,Booking Engine,,,2023-11-17 20:32:55,226,1,1,3090.0,3090.0
R-06DA87A538EB,2024,2024-08-03,2024-08-10,2024-08,7,3,0,0,C-3A583E5026E8,,IT,bd,Booking Engine,,,2023-11-17 20:44:59,260,1,1,2890.0,2890.0
R-713CEEA76E60,2024,2024-08-03,2024-08-17,2024-08,14,4,1,0,C-4D25192AA237,,IT,bd,Booking Engine,,,2023-11-17 20:48:57,260,1,1,6390.0,6390.0
R-02F91060045F,2024,2024-08-17,2024-08-25,2024-08,8,3,0,0,C-4343C61BDB38,,IT,bd,Booking Engine,,,2023-11-17 20:55:00,274,1,1,3490.0,3490.0
R-C0C0A528F261,2024,2024-09-01,2024-09-15,2024-09,14,10,0,0,C-F91CB52E9EAD,IT,IT,bd,Booking Engine,,,2023-11-17 21:04:01,289,2,1,2390.0,3190.0
R-6075E389C44E,2024,2024-08-17,2024-08-24,2024-08,7,2,0,0,C-F56E86048B8C,IT,IT,bd,Booking Engine,,,2023-11-17 21:16:46,274,1,1,2990.0,2990.0
R-79EF40FDA13F,2024,2024-06-22,2024-06-29,2024-06,7,2,2,0,C-5EE86274C4B0,,IT,bd,Booking Engine,,,2023-11-17 21:41:38,218,2,1,1790.0,3490.0
R-0A36CD35E616,2024,2024-07-27,2024-08-10,2024-07,14,2,1,0,C-FAD479AD69FC,IT,IT,bd,Booking Engine,,,2023-11-17 21:43:28,253,1,1,4990.0,4990.0
R-BAF9880848F0,2024,2024-08-03,2024-08-10,2024-08,7,2,1,0,C-34613402379C,,IT,bd,Booking Engine,,,2023-11-17 22:10:40,260,2,1,2790.0,3190.0
R-E0065029AA5B,2024,2024-06-22,2024-06-29,2024-06,7,2,2,0,C-0B61E530CDEE,IT,IT,bd,Booking Engine,,,2023-11-17 22:12:48,218,2,1,1790.0,1890.0
R-1959C9C1B59C,2024,2024-07-28,2024-08-04,2024-07,7,2,3,0,C-C8BAA46662AD,,IT,bd,Booking Engine,,,2023-11-17 22:21:10,254,1,1,2590.0,2590.0
R-8EA14A266F47,2024,2024-06-30,2024-07-07,2024-06,7,2,0,0,C-2705048112FC,,IT,bd,Booking Engine,,,2023-11-17 22:25:22,226,1,1,1190.0,1190.0
R-D37DA9EE44EA,2024,2024-08-11,2024-08-18,2024-08,7,2,0,0,C-2A38DF571170,IT,IT,bd,Booking Engine,,,2023-11-17 22:28:47,268,2,1,2790.0,2990.0
R-3AEB1F674BC0,2024,2024-06-03,2024-06-08,2024-06,5,2,0,0,C-D808EFE7E38E,,IT,bd,Booking Engine,,,2023-11-17 22:31:36,199,1,1,790.0,790.0
R-988C8AEA6B72,2024,2024-06-22,2024-06-29,2024-06,7,2,1,0,C-43C81E486B03,,IT,bd,Booking Engine,,,2023-11-17 22:47:39,218,1,1,1557.0,1557.0
R-34B5663EB609,2024,2024-06-29,2024-07-06,2024-06,7,2,0,0,C-C60169F8924D,,IT,bd,Booking Engine,,,2023-11-17 23:13:56,225,1,1,1190.0,1190.0
R-A16C8F1E31CF,2024,2024-06-22,2024-06-29,2024-06,7,2,1,0,C-EC525B0FB114,,IT,bd,Booking Engine,,,2023-11-18 02:32:11,217,2,1,1490.0,1690.0
R-45807CBFDD49,2024,2024-06-16,2024-06-23,2024-06,7,2,0,0,C-82A481F6B87B,,IT,bd,Booking Engine,,,2023-11-18 06:01:56,211,2,1,990.0,1190.0
R-73866A6FFB45,2024,2024-06-29,2024-07-06,2024-06,7,2,1,0,C-E15F2A1BA92A,IT,IT,bd,Booking Engine,,,2023-11-18 06:08:55,224,2,1,1390.0,1590.0
R-8434CF66E731,2024,2024-07-28,2024-08-04,2024-07,7,2,2,0,C-A3B751D1AF7E,,IT,bd,Booking Engine,,,2023-11-18 06:59:33,253,1,1,2290.0,2290.0
R-92892F08C369,2024,2024-06-01,2024-06-15,2024-06,14,2,0,0,C-89AECD3D495F,,IT,bd,Booking Engine,,,2023-11-18 07:09:22,196,3,1,1990.0,2290.0
R-CCED8136F9A1,2024,2024-06-19,2024-06-30,2024-06,11,3,2,0,C-1731A4E11C5D,,IT,bd,Booking Engine,,,2023-11-18 07:25:05,214,6,1,1290.0,2643.5
R-13947E218483,2024,2024-08-08,2024-08-17,2024-08,9,2,1,0,C-9113FFFF2FAF,IT,IT,bd,Booking Engine,,,2023-11-18 08:05:24,264,1,1,3190.0,3190.0
R-9DB825A25E4A,2024,2024-06-01,2024-06-08,2024-06,7,2,2,0,C-EDE893C8416E,,IT,bd,Booking Engine,,,2023-11-18 08:08:06,196,2,1,990.0,1190.0
R-58141CADAEDF,2024,2024-08-18,2024-08-25,2024-08,7,2,2,0,C-14F74F7BAACC,,IT,bd,Booking Engine,,,2023-11-18 08:25:41,274,3,1,2790.0,3190.0
R-B962A5DD2171,2024,2024-08-01,2024-08-08,2024-08,7,2,1,0,C-44F1255ADC39,IT,IT,bd,Booking Engine,,,2023-11-18 08:28:54,257,4,1,2590.0,3290.0
R-4AF8E9FD9AE9,2024,2024-09-01,2024-09-08,2024-09,7,2,3,0,C-C0F9AF45D6AE,,IT,bd,Booking Engine,,,2023-11-18 08:50:40,288,1,1,1490.0,1490.0
R-BD94E6FE56DA,2024,2024-08-17,2024-08-24,2024-08,7,6,1,0,C-8C302DA057EA,,IT,bd,Booking Engine,,,2023-11-18 09:09:54,273,2,1,2790.0,3190.0
R-7F399EF0D652,2024,2024-06-21,2024-06-29,2024-06,8,2,1,0,C-D448759E6798,,IT,bd,Booking Engine,,,2023-11-18 10:30:31,216,2,1,1590.0,1734.5
R-2E580BF931DC,2024,2024-09-01,2024-09-15,2024-09,14,2,1,0,C-CDFD78D16B90,,IT,bd,Booking Engine,,,2023-11-18 10:47:10,288,1,1,2190.0,2190.0
R-8B1CB6B13802,2024,2024-08-11,2024-08-18,2024-08,7,2,4,0,C-D3F93121D054,,IT,bd,Booking Engine,,,2023-11-18 10:50:23,267,2,1,3290.0,3490.0
R-A9819E9CF74E,2024,2024-09-01,2024-09-08,2024-09,7,2,0,0,C-642E40B2CF5A,IT,IT,bd,Booking Engine,,,2023-11-18 10:50:58,288,1,1,1090.0,1090.0
R-B620FCF80364,2024,2024-08-11,2024-08-18,2024-08,7,2,2,0,C-7C6F9A7A01CD,,IT,bd,Booking Engine,,,2023-11-18 12:28:50,267,2,1,3590.0,3690.0
R-17C7419610C8,2024,2024-06-06,2024-06-16,2024-06,10,2,0,0,C-FBE5C1116E92,IT,IT,bd,Booking Engine,,,2023-11-18 14:01:09,201,2,1,890.0,1290.0
R-21624DD2BC9A,2024,2024-06-23,2024-06-30,2024-06,7,2,2,0,C-93987F94E908,,IT,bd,Booking Engine,,,2023-11-18 14:29:13,218,1,1,1690.0,1690.0
R-CDE5BC0FCE9B,2024,2024-06-09,2024-06-16,2024-06,7,2,0,0,C-88ED1219973E,IT,IT,bd,Booking Engine,,,2023-11-18 16:24:18,204,1,1,890.0,890.0
R-0D821163762B,2024,2024-07-07,2024-07-14,2024-07,7,2,2,0,C-569C1A704C5F,IT,IT,bd,Booking Engine,,,2023-11-18 16:52:45,232,2,1,1990.0,2090.0
R-C48C07B0D7FA,2024,2024-08-03,2024-08-10,2024-08,7,4,0,0,C-378AD8C033AD,,IT,bd,Booking Engine,,,2023-11-18 17:04:56,259,1,1,2990.0,2990.0
R-087F380434C6,2024,2024-06-15,2024-06-22,2024-06,7,2,0,0,C-941FF34E6773,,IT,bd,Booking Engine,,,2023-11-18 17:46:57,210,2,1,990.0,990.0
